INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
91	10000	0	0	0	0	2000	2300	2200	2500	1000
92	10000	0	0	0	0	2000	2300	2200	2500	1000
93	10000	0	0	0	0	2000	2300	2200	2500	1000
94	10000	0	0	0	0	2000	2300	2200	2500	1000
95	10000	0	0	0	0	2000	2300	2200	2500	1000
96	10000	0	0	0	0	2000	2300	2200	2500	1000
97	10000	0	0	0	0	2000	2300	2200	2500	1000
98	10000	0	0	0	0	2000	2300	2200	2500	1000
99	10000	0	0	0	0	2000	2300	2200	2500	1000
100	10000	0	0	0	0	2000	2300	2200	2500	1000
101	10000	0	0	0	0	2000	2300	2200	2500	1000
102	10000	0	0	0	0	2000	2300	2200	2500	1000
103	10000	0	0	0	0	2000	2300	2200	2500	1000
104	10000	0	0	0	0	2000	2300	2200	2500	1000
105	10000	0	0	0	0	2000	2300	2200	2500	1000
106	10000	0	0	0	0	2000	2300	2200	2500	1000
107	10000	0	0	0	0	2000	2300	2200	2500	1000
108	10000	0	0	0	0	2000	2300	2200	2500	1000
109	10000	0	0	0	0	2000	2300	2200	2500	1000
110	10000	0	0	0	0	2000	2300	2200	2500	1000
111	10000	0	0	0	0	2000	2300	2200	2500	1000
112	10000	0	0	0	0	2000	2300	2200	2500	1000
113	10000	0	0	0	0	2000	2300	2200	2500	1000
114	10000	0	0	0	0	2000	2300	2200	2500	1000
115	10000	0	0	0	0	2000	2300	2200	2500	1000
116	10000	0	0	0	0	2000	2300	2200	2500	1000
117	10000	0	0	0	0	2000	2300	2200	2500	1000
118	10000	0	0	0	0	2000	2300	2200	2500	1000
119	10000	0	0	0	0	2000	2300	2200	2500	1000
120	10000	0	0	0	0	2000	2300	2200	2500	1000
121	10000	0	0	0	0	2000	2300	2200	2500	1000
122	10000	0	0	0	0	2000	2300	2200	2500	1000
123	10000	0	0	0	0	2000	2300	2200	2500	1000
124	10000	0	0	0	0	2000	2300	2200	2500	1000
125	10000	0	0	0	0	2000	2300	2200	2500	1000
126	10000	0	0	0	0	2000	2300	2200	2500	1000
127	10000	0	0	0	0	2000	2300	2200	2500	1000
128	10000	0	0	0	0	2000	2300	2200	2500	1000
129	10000	0	0	0	0	2000	2300	2200	2500	1000
