INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING
9	陷阱	52	STD_IMPACT_052	1	186	-1	186	160	0	1	0	0	0	0	0	0	1	0	-1	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
18	升级特效	0	StdImpact000	0	18	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
19	钓鱼buff	38	StdImpact038	1	273	-1	273	10	0	0	0	1	0	0	0	0	0	0	600000	0	0	0	0	0	0		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1	
20	钓鱼buff	38	StdImpact038	1	274	-1	273	20	0	0	0	1	0	0	0	0	0	0	600000	0	0	0	0	0	0		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1	
21	钓鱼buff	38	StdImpact038	1	275	-1	273	30	0	0	0	1	0	0	0	0	0	0	600000	0	0	0	0	0	0		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1	
22	回城（瞬移）	9	STD_IMPACT_009	0	68	-1	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	场景ID	2	0	X坐标	160	0	Z坐标	113	0			0			0			0			0			0			0			0			0			0			0			0			0			0	
23	宠物加血	0	StdImpact000	0	10	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
24	宠物加快乐	0	StdImpact000	0	12	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
35	打坐回复	10	StdImpact010	1	222	-1	222	5	1	0	0	1	1	0	1	1	1	0	3600000	3000	0	0	0	0	0	子效果1数据索引	36	0	子效果2数据索引	-1	0	。。。	-1	0	子效果15数据索引	-1	0	子效果16数据索引	-1	0	， 一共可以填16个子效果，不用的子效果域请填-1。	-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0	
36	打坐回复子效果	4	StdImpact004	0	10	-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改量	30	0	MP修改量	10	0	Rage修改量	0	0	StrikePoint修改量	0	0			0			0			0			0			0			0			0			0			0			0			0			0	
37	对峙（定身+无敌+沉默）	14	STD_IMPACT_014	1	276	-1	276	160	1	0	0	0	0	0	0	0	0	0	3000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	0	0	"可否使用任何技能（CanAction2标记,-1为无效）"	0	0	"可否移动（CanMove标记,-1为无效）"	0	0	"无敌否（Unbreakable标记,-1为无效）"	1	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	"允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；"	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
38	遇敌（无法传送）	38	STD_IMPACT_038	1	277	-1	277	160	1	0	0	0	0	0	0	0	0	0	30000	0	0	0	0	0	0																																																	
39	破绽百出（被秒）	71	STD_IMPACT_071	1	280	-1	280	160	1	0	0	0	0	1	0	0	0	0	8000	0	0	0	0	0	0	攻击力的值放大	1	0	攻击力的百分比放大	3000	0	限定技能集合1	67	0	限定技能集合2	68	0	限定技能集合3	-1	0																																		
40	报复	0	StdImpact000	1	281	-1	281	0	0	0	0	0	0	1	0	0	0	0	120000	0	0	0	0	0	0																																																	
41	秒人	2	STD_IMPACT_001	0	23	-1	-1	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	伤害百分率	100	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	直接减血10
42	监禁（无法使用技能和物品）	14	STD_IMPACT_014	1	282	-1	282	160	1	1	0	0	0	0	0	0	0	0	21600000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	1	0	"可否使用任何技能（CanAction2标记,-1为无效）"	0	0	"可否移动（CanMove标记,-1为无效）"	1	0	"无敌否（Unbreakable标记,-1为无效）"	0	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	"允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；"	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
43	剧情攻击特效	0	StdImpact000	0	160	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
44	剧情消失特效	0	StdImpact000	0	161	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
45	剧情困惑特效	14	STD_IMPACT_014	1	212	-1	212	160	-1	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	0	0	"可否使用任何技能（CanAction2标记,-1为无效）"	0	0	"可否移动（CanMove标记,-1为无效）"	0	0	"无敌否（Unbreakable标记,-1为无效）"	0	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	"允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；"	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
46	棋王封印	14	STD_IMPACT_014	1	213	-1	213	160	-1	0	0	0	0	0	1	0	0	0	8000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	0	0	"可否使用任何技能（CanAction2标记,-1为无效）"	0	0	"可否移动（CanMove标记,-1为无效）"	0	0	"无敌否（Unbreakable标记,-1为无效）"	0	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	"允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；"	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
47	接任务特效	0	StdImpact000	0	77	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
48	交任务特效	0	StdImpact000	0	78	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
49	升级特效(绿)	0	StdImpact000	0	79	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
50	攻击免疫+攻击不能	14	STD_IMPACT_014	1	211	-1	211	160	0	0	0	0	0	0	0	1	0	0	20000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	1	0	"可否使用任何技能（CanAction2标记,-1为无效）"	0	0	"可否移动（CanMove标记,-1为无效）"	1	0	"无敌否（Unbreakable标记,-1为无效）"	1	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	"允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；"	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
51	升级特效(黄)	0	StdImpact000	0	80	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
52	实物（免疫点穴僵硬等一切不良buff）	17	STD_IMPACT_017	1	230	-1	230	160	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	免疫级别	120	0	免疫集合1	60	0	免疫集合2	52	0	免疫集合3	53	0	免疫集合4	45	0	免疫集合5	5	0	免疫集合6	6	0	免疫集合7	-1	0	免疫集合8	-1	0																						
53	宠物双倍	38	StdImpact038	1	325	-1	325	1	0	1	0	0	0	0	0	0	0	0	3600000	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
54	传送保护	14	STD_IMPACT_014	1	334	-1	334	160	1	0	0	1	0	0	0	1	0	0	120000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	1	0	"可否使用任何技能（CanAction2标记,-1为无效）"	1	0	"可否移动（CanMove标记,-1为无效）"	1	0	"无敌否（Unbreakable标记,-1为无效）"	1	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	"允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；"	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
55	珍兽群攻疲劳	38	StdImpact038	1	335	-1	335	160	1	1	0	0	0	0	0	0	0	0	55000	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
56	马鞍加速	73	StdImpact073	1	336	-1	336	160	1	1	0	0	0	0	0	0	0	0	3600000	0	0	0	0	0	0		20	0		66	0		-1	0		-1	0			0			0			0			0			0			0			0			0			0			0			0			0	
57	干坤壶	38	StdImpact038	1	343	-1	343	160	1	1	0	0	0	0	0	0	0	0	86400000	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
58	AMD双核速龙丹	14	STD_IMPACT_014	1	347	-1	347	160	1	0	0	1	0	0	0	0	0	0	900000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	-1	0	"可否使用任何技能（CanAction2标记,-1为无效）"	-1	0	"可否移动（CanMove标记,-1为无效）"	-1	0	"无敌否（Unbreakable标记,-1为无效）"	-1	0	移动速度修正%（0为无效）	10	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	"允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；"	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	一苇渡江（加速）
59	入帮冷却	38	StdImpact038	1	344	-1	344	160	0	1	0	0	0	0	0	0	0	1	86400000	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
60	人物2.5倍	38	StdImpact038	1	349	-1	349	160	0	1	1	0	0	0	0	0	0	0	3600000	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
61	宠物2.5倍	38	StdImpact038	1	350	-1	325	160	0	1	1	0	0	0	0	0	0	0	3600000	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
62	人物1.5倍	38	StdImpact038	1	351	-1	349	140	0	1	1	0	0	0	0	0	0	0	3600000	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
63	999朵玫瑰特效	0	StdImpact000	0	208	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
64	珍兽神佑疲劳	38	StdImpact038	1	352	-1	352	160	1	1	0	0	0	0	0	0	0	0	120000	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
65	珍兽共生血祭疲劳	38	StdImpact038	1	353	-1	353	160	1	1	0	0	0	0	0	0	0	0	120000	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
66	999朵玫瑰持续特效	38	StdImpact038	1	354	-1	354	160	1	0	0	1	0	0	0	0	0	0	30000	0	0	0	0	0	0																																																	
67	招牌：霓虹灯	38	StdImpact038	1	700	-1	700	160	1	1	0	0	0	0	0	0	0	1	86400000	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
68	招牌：刀剑争锋	38	StdImpact038	1	701	-1	700	160	1	1	0	0	0	0	0	0	0	1	86400000	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
69	招牌：铁甲铜壁	38	StdImpact038	1	702	-1	700	160	1	1	0	0	0	0	0	0	0	1	86400000	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
70	招牌：珍禽异兽	38	StdImpact038	1	703	-1	700	160	1	1	0	0	0	0	0	0	0	1	86400000	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
71	招牌：金字招牌	38	StdImpact038	1	704	-1	700	160	1	1	0	0	0	0	0	0	0	1	86400000	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
72	珍兽肉墙疲劳	38	StdImpact000	1	357	-1	357	120	1	1	0	0	0	0	0	0	0	0	60000	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
100	捉宠特效	0	StdImpact000	0	-1	-1	-1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	捉宠特效
101	初级外防	11	STD_IMPACT_011	1	41	-1	41	5	1	0	0	1	0	0	0	0	1	0	300000	0	0	0	0	0	0	物理攻击+	0	0	物理防御+	190	0	魔法攻击+	0	0	魔法防御+	0	0	冰系攻击修正	0	0	冰系抗性修正	0	0	火系攻击修正	0	0	火系抗性修正	0	0	电系攻击修正	0	0	电系抗性修正	0	0	毒系攻击修正	0	0	毒系抗性修正	0	0	MAX_HP修正	0	0	MAX_MP修正	0	0	MAX_RAGE修正	0	0	MAX_STRIKE_POINT修正	0	0	加10物防
102	初级外攻	3	STD_IMPACT_003	0	0	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	571	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	加10外攻
103	初级减血	1	STD_IMPACT_001	0	6	-1	-1	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	伤害数值+	45	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	直接减血10
104	初级内攻	3	STD_IMPACT_003	0	1	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	571	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	加10外攻
105	初级加血	4	STD_IMPACT_004	0	10	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改量	80	0	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0			0			0			0			0			0			0			0			0			0			0			0			0	加50血
106	初级内防	11	STD_IMPACT_011	1	42	-1	42	0	1	0	1	1	0	0	0	0	1	0	300000	0	0	0	0	0	0	物理攻击+	0	0	物理防御+	0	0	魔法攻击+	0	0	魔法防御+	190	0	冰系攻击修正	0	0	冰系抗性修正	0	0	火系攻击修正	0	0	火系抗性修正	0	0	电系攻击修正	0	0	电系抗性修正	0	0	毒系攻击修正	0	0	毒系抗性修正	0	0	MAX_HP修正	0	0	MAX_MP修正	0	0	MAX_RAGE修正	0	0	MAX_STRIKE_POINT修正	0	0	加10内防
107	初级破绽1	11	STD_IMPACT_011	1	25	-1	25	0	1	0	1	1	0	0	0	0	1	0	30000	0	0	0	0	0	0	物理攻击+	0	0	物理防御+	-127	0	魔法攻击+	0	0	魔法防御+	-127	0	冰系攻击修正	0	0	冰系抗性修正	0	0	火系攻击修正	0	0	火系抗性修正	0	0	电系攻击修正	0	0	电系抗性修正	0	0	毒系攻击修正	0	0	毒系抗性修正	0	0	MAX_HP修正	0	0	MAX_MP修正	0	0	MAX_RAGE修正	0	0	MAX_STRIKE_POINT修正	0	0	减10外防
109	初级隐身	14	STD_IMPACT_014	1	99	-1	99	1	1	0	0	1	0	0	1	1	1	0	5000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	-1	0	"可否使用任何技能（CanAction2标记,-1为无效）"	-1	0	"可否移动（CanMove标记,-1为无效）"	-1	0	"无敌否（Unbreakable标记,-1为无效）"	0	0	移动速度修正%（0为无效）	-50	0	隐身级别修正（0为无效）	10	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	"允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；"		0	技能集合ID		0	效果集合ID		0			0			0			0			0	隐身5秒
110	初级陷阱	10	StdImpact010	1	4	-1	4	10	-1	0	1	0	0	1	0	0	0	0	10000	1000	1	0	0	0	0	子效果1数据索引	111	0	子效果2数据索引	-1	0	。。。	-1	0	子效果15数据索引	-1	0	子效果16数据索引	-1	0	， 一共可以填16个子效果，不用的子效果域请填-1。	-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0	韦陀杵HPDOT1
111	HPDOT4减血	1	STD_IMPACT_001	0	3	-1	-1	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	伤害数值+	45	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	HPDOT1减血
112	攻击免疫+攻击不能	14	STD_IMPACT_014	1	211	-1	211	160	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	0	0	"可否使用任何技能（CanAction2标记,-1为无效）"	0	0	"可否移动（CanMove标记,-1为无效）"	1	0	"无敌否（Unbreakable标记,-1为无效）"	1	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	"允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；"	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
113	漕运状态（禁止回城、隐身、乘骑）	14	STD_IMPACT_017	1	271	-1	271	160	0	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	-1	0	"可否使用任何技能（CanAction2标记,-1为无效）"	-1	0	"可否移动（CanMove标记,-1为无效）"	-1	0	"无敌否（Unbreakable标记,-1为无效）"	-1	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	"允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；"	0	0	技能集合ID	64	0	效果集合ID	63	0													
114	漕运怪状态（反隐、加速）	14	STD_IMPACT_014	1	272	-1	272	160	1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	-1	0	"可否使用任何技能（CanAction2标记,-1为无效）"	-1	0	"可否移动（CanMove标记,-1为无效）"	-1	0	"无敌否（Unbreakable标记,-1为无效）"	-1	0	移动速度修正%（0为无效）	100	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	1200	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	"允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；"	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	无相截指-迟缓
115	漕运+外攻（一级）	11	STD_IMPACT_011	1	223	-1	223	10	1	0	0	1	0	0	0	0	0	0	120000	0	0	0	0	0	0	物理攻击+	380	0	物理防御+	0	0	魔法攻击+	0	0	魔法防御+	0	0	冰系攻击修正	0	0	冰系抗性修正	0	0	火系攻击修正	0	0	火系抗性修正	0	0	电系攻击修正	0	0	电系抗性修正	0	0	毒系攻击修正	0	0	毒系抗性修正	0	0	MAX_HP修正	0	0	MAX_MP修正	0	0	MAX_RAGE修正	0	0	MAX_STRIKE_POINT修正	0	0	加物防
116	漕运+外攻（二级）	11	STD_IMPACT_011	1	223	-1	223	20	1	0	0	1	0	0	0	0	0	0	120000	0	0	0	0	0	0	物理攻击+	634	0	物理防御+	0	0	魔法攻击+	0	0	魔法防御+	0	0	冰系攻击修正	0	0	冰系抗性修正	0	0	火系攻击修正	0	0	火系抗性修正	0	0	电系攻击修正	0	0	电系抗性修正	0	0	毒系攻击修正	0	0	毒系抗性修正	0	0	MAX_HP修正	0	0	MAX_MP修正	0	0	MAX_RAGE修正	0	0	MAX_STRIKE_POINT修正	0	0	加物防
117	漕运+外攻（三级）	11	STD_IMPACT_011	1	223	-1	223	30	1	0	0	1	0	0	0	0	0	0	120000	0	0	0	0	0	0	物理攻击+	888	0	物理防御+	0	0	魔法攻击+	0	0	魔法防御+	0	0	冰系攻击修正	0	0	冰系抗性修正	0	0	火系攻击修正	0	0	火系抗性修正	0	0	电系攻击修正	0	0	电系抗性修正	0	0	毒系攻击修正	0	0	毒系抗性修正	0	0	MAX_HP修正	0	0	MAX_MP修正	0	0	MAX_RAGE修正	0	0	MAX_STRIKE_POINT修正	0	0	加物防
