INT	INT	INT	STRING	INT	INT	INT
10124332	168	2005	-1	0	1	0
10124333	720	2005	-1	0	1	0
10124334	2160	2005	-1	0	1	0
10124335	-1	2005	-1	0	1	0
10124336	168	2005	-1	0	1	0
10124337	168	2005	-1	0	1	0
10124338	360	2005	-1	0	1	0
10124339	720	2005	-1	0	1	0
10124340	720	2005	-1	0	1	0
10124341	720	2005	-1	0	1	0
10124342	720	2005	-1	0	1	0
10124343	168	2005	-1	0	1	0
10124344	720	2005	-1	0	1	0
10124345	2160	2005	-1	0	1	0
10124346	-1	2005	-1	0	1	0
10124347	168	2005	-1	0	1	0
10124348	720	2005	-1	0	1	0
10124349	2160	2005	-1	0	1	0
10124350	-1	2005	-1	0	1	0
10124351	168	2005	-1	0	1	0
10124352	720	2005	-1	0	1	0
10124353	2160	2005	-1	0	1	0
10124354	168	2005	-1	0	1	0
10124355	720	2005	-1	0	1	0
10124356	2160	2005	-1	0	1	0
10124357	-1	2005	-1	0	1	0
10124358	-1	2005	-1	0	1	0
10124359	-1	2005	-1	0	1	0
10124360	168	2005	-1	0	1	0
10124361	720	2005	-1	0	1	0
10124362	2160	2005	-1	0	1	0
10124363	168	2005	-1	0	1	0
10124364	720	2005	-1	0	1	0
10124365	2160	2005	-1	0	1	0
10124366	720	2005	-1	0	1	0
10124367	720	2005	-1	0	1	0
10124368	720	2005	-1	0	1	0
10124369	720	2005	-1	0	1	0
10124370	72	2005	-1	0	1	0
10124371	168	2005	-1	0	1	0
10124372	360	2005	-1	0	1	0
10124373	72	2005	-1	0	1	0
10124374	168	2005	-1	0	1	0
10124375	360	2005	-1	0	1	0
10124376	168	2005	-1	0	1	0
10124377	720	2005	-1	0	1	0
10124378	2160	2005	-1	0	1	0
10124379	-1	2005	-1	0	1	0
10141000	-1	2005	-1	0	1	0
10141003	-1	2005	-1	0	1	0
10141041	2160	2005	-1	0	1	0
10141042	840	2005	-1	0	1	0
10141043	2160	2005	-1	0	1	0
10141044	2160	2005	-1	0	1	0
10141045	2160	2005	-1	0	1	0
10141046	2160	2005	-1	0	1	0
10141047	2160	2005	-1	0	1	0
10141048	2160	2005	-1	0	1	0
10141049	2160	2005	-1	0	1	0
10141052	-1	2005	-1	0	1	0
10141053	-1	2005	-1	0	1	0
10141054	-1	2005	-1	0	1	0
10141055	-1	2005	-1	0	1	0
10141056	-1	2005	-1	0	1	0
10141057	-1	2005	-1	0	1	0
10141058	-1	2005	-1	0	1	0
10141059	-1	2005	-1	0	1	0
10141060	2160	2005	-1	0	1	0
10141061	2160	2005	-1	0	1	0
10141062	2160	2005	-1	0	1	0
10141063	2160	2005	-1	0	1	0
10141064	2160	2005	-1	0	1	0
10141065	2160	2005	-1	0	1	0
10141066	-1	2005	-1	0	1	0
10141067	-1	2005	-1	0	1	0
10141068	-1	2005	-1	0	1	0
10141069	-1	2005	-1	0	1	0
10141070	-1	2005	-1	0	1	0
10141071	-1	2005	-1	0	1	0
10141072	4320	2005	-1	0	1	0
10141073	4320	2005	-1	0	1	0
10141074	4320	2005	-1	0	1	0
10141075	4320	2005	-1	0	1	0
10141076	4320	2005	-1	0	1	0
10141077	4320	2005	-1	0	1	0
10141078	4320	2005	-1	0	1	0
10141079	4320	2005	-1	0	1	0
10141080	4320	2005	-1	0	1	0
10141081	2160	2005	-1	0	1	0
10141082	4320	2005	-1	0	1	0
10141083	-1	2005	-1	0	1	0
10141084	2160	2005	-1	0	1	0
10141085	4320	2005	-1	0	1	0
10141086	-1	2005	-1	0	1	0
10141087	2160	2005	-1	0	1	0
10141088	4320	2005	-1	0	1	0
10141089	-1	2005	-1	0	1	0
10141090	720	2005	-1	0	1	0
10141091	2160	2005	-1	0	1	0
10141092	-1	2005	-1	0	1	0
10141093	2160	2005	-1	0	1	0
10141094	4320	2005	-1	0	1	0
10141095	-1	2005	-1	0	1	0
10141102	2160	2005	-1	0	1	0
10141103	4320	2005	-1	0	1	0
10141104	-1	2005	-1	0	1	0
10141105	168	2005	-1	0	1	0
10141106	168	2005	-1	0	1	0
10141107	168	2005	-1	0	1	0
10141108	168	2005	-1	0	1	0
10141109	168	2005	-1	0	1	0
10141110	168	2005	-1	0	1	0
10141111	2160	2005	-1	0	1	0
10141112	4320	2005	-1	0	1	0
10141113	-1	2005	-1	0	1	0
10141114	720	2005	-1	0	1	0
10141115	720	2005	-1	0	1	0
10141116	2160	2005	-1	0	1	0
10141117	4320	2005	-1	0	1	0
10141118	-1	2005	-1	0	1	0
10141119	720	2005	-1	0	1	0
10141120	720	2005	-1	0	1	0
10141121	168	2005	-1	0	1	0
10141122	2160	2005	-1	0	1	0
10141123	4320	2005	-1	0	1	0
10141124	-1	2005	-1	0	1	0
10141125	2160	2005	-1	0	1	0
10141126	4320	2005	-1	0	1	0
10141127	-1	2005	-1	0	1	0
10141128	2160	2005	-1	0	1	0
10141129	4320	2005	-1	0	1	0
10141130	-1	2005	-1	0	1	0
10141131	720	2005	-1	0	1	0
10141132	720	2005	-1	0	1	0
10141133	720	2005	-1	0	1	0
10141134	72	2005	-1	0	1	0
10141135	72	2005	-1	0	1	0
10141136	720	2005	-1	0	1	0
10141137	2160	2005	-1	0	1	0
10141138	4320	2005	-1	0	1	0
10141139	-1	2005	-1	0	1	0
10141140	720	2005	-1	0	1	0
10141141	2160	2005	-1	0	1	0
10141142	4320	2005	-1	0	1	0
10141143	-1	2005	-1	0	1	0
10141144	336	2005	-1	0	1	0
10141145	720	2005	-1	0	1	0
10141146	720	2005	-1	0	1	0
10141147	2160	2005	-1	0	1	0
10141148	4320	2005	-1	0	1	0
10141149	-1	2005	-1	0	1	0
10141151	720	2005	-1	0	1	0
10141152	720	2005	-1	0	1	0
10141153	2160	2005	-1	0	1	0
10141154	4320	2005	-1	0	1	0
10141155	-1	2005	-1	0	1	0
10141156	720	2005	-1	0	1	0
10141157	2160	2005	-1	0	1	0
10141158	4320	2005	-1	0	1	0
10141159	-1	2005	-1	0	1	0
10141160	720	2005	-1	0	1	0
10141161	2160	2005	-1	0	1	0
10141162	4320	2005	-1	0	1	0
10141163	-1	2005	-1	0	1	0
10141164	720	2005	-1	0	1	0
10141165	2160	2005	-1	0	1	0
10141166	4320	2005	-1	0	1	0
10141167	-1	2005	-1	0	1	0
10141168	720	2005	-1	0	1	0
10141169	2160	2005	-1	0	1	0
10141170	4320	2005	-1	0	1	0
10141171	-1	2005	-1	0	1	0
10141172	720	2005	-1	0	1	0
10141173	2160	2005	-1	0	1	0
10141174	4320	2005	-1	0	1	0
10141175	-1	2005	-1	0	1	0
10141176	720	2005	-1	0	1	0
10141177	2160	2005	-1	0	1	0
10141178	4320	2005	-1	0	1	0
10141179	-1	2005	-1	0	1	0
10141180	720	2005	-1	0	1	0
10141181	2160	2005	-1	0	1	0
10141182	4320	2005	-1	0	1	0
10141183	-1	2005	-1	0	1	0
10141184	720	2005	-1	0	1	0
10141185	2160	2005	-1	0	1	0
10141186	4320	2005	-1	0	1	0
10141187	-1	2005	-1	0	1	0
10141188	72	2005	-1	0	1	0
10141189	720	2005	-1	0	1	0
10141190	2160	2005	-1	0	1	0
10141191	4320	2005	-1	0	1	0
10141192	-1	2005	-1	0	1	0
10141193	336	2005	-1	0	1	0
10141194	720	2005	-1	0	1	0
10141195	2160	2005	-1	0	1	0
10141196	4320	2005	-1	0	1	0
10141197	-1	2005	-1	0	1	0
10141198	720	2005	-1	0	1	0
10141199	2160	2005	-1	0	1	0
10141200	4320	2005	-1	0	1	0
10141201	-1	2005	-1	0	1	0
10141202	720	2005	-1	0	1	0
10141203	720	2005	-1	0	1	0
10141204	168	2005	-1	0	1	0
10141205	2160	2005	-1	0	1	0
10141206	72	2005	-1	0	1	0
10141207	720	2005	-1	0	1	0
10141208	720	2005	-1	0	1	0
10141209	168	2005	-1	0	1	0
10141210	168	2005	-1	0	1	0
10141211	168	2005	-1	0	1	0
10141212	168	2005	-1	0	1	0
10141213	720	2005	-1	0	1	0
10141214	2160	2005	-1	0	1	0
10141215	4320	2005	-1	0	1	0
10141216	-1	2005	-1	0	1	0
10141217	2160	2005	-1	0	1	0
10141218	360	2005	-1	0	1	0
10141221	720	2005	-1	0	1	0
10141222	2160	2005	-1	0	1	0
10141223	4320	2005	-1	0	1	0
10141224	-1	2005	-1	0	1	0
10141225	168	2005	-1	0	1	0
10141226	720	2005	-1	0	1	0
10141227	360	2005	-1	0	1	0
10141228	720	2005	-1	0	1	0
10141229	2160	2005	-1	0	1	0
10141230	-1	2005	-1	0	1	0
10141231	720	2005	-1	0	1	0
10141232	2160	2005	-1	0	1	0
10141233	-1	2005	-1	0	1	0
10141234	720	2005	-1	0	1	0
10141235	2160	2005	-1	0	1	0
10141236	4320	2005	-1	0	1	0
10141237	-1	2005	-1	0	1	0
10141238	720	2005	-1	0	1	0
10141239	2160	2005	-1	0	1	0
10141240	4320	2005	-1	0	1	0
10141241	-1	2005	-1	0	1	0
10141242	720	2005	-1	0	1	0
10141243	2160	2005	-1	0	1	0
10141244	4320	2005	-1	0	1	0
10141245	-1	2005	-1	0	1	0
10141246	168	2005	-1	0	1	0
10141247	720	2005	-1	0	1	0
10141248	2160	2005	-1	0	1	0
10141249	4320	2005	-1	0	1	0
10141250	-1	2005	-1	0	1	0
10141251	720	2005	-1	0	1	0
10141252	2160	2005	-1	0	1	0
10141253	4320	2005	-1	0	1	0
10141254	-1	2005	-1	0	1	0
10141255	720	2005	-1	0	1	0
10141256	2160	2005	-1	0	1	0
10141257	4320	2005	-1	0	1	0
10141258	-1	2005	-1	0	1	0
10141259	720	2005	-1	0	1	0
10141260	720	2005	-1	0	1	0
10141261	2160	2005	-1	0	1	0
10141262	4320	2005	-1	0	1	0
10141263	-1	2005	-1	0	1	0
10141264	2160	2005	-1	0	1	0
10141265	4320	2005	-1	0	1	0
10141266	-1	2005	-1	0	1	0
10141267	168	2005	-1	0	1	0
10141268	168	2005	-1	0	1	0
10141269	2160	2005	-1	0	1	0
10141270	4320	2005	-1	0	1	0
10141271	-1	2005	-1	0	1	0
10141272	168	2005	-1	0	1	0
10141273	2160	2005	-1	0	1	0
10141274	4320	2005	-1	0	1	0
10141275	-1	2005	-1	0	1	0
10141276	360	2005	-1	0	1	0
10141277	720	2005	-1	0	1	0
10141278	24	2005	-1	0	1	0
10141279	24	2005	-1	0	1	0
10141280	24	2005	-1	0	1	0
10141281	24	2005	-1	0	1	0
10141282	24	2005	-1	0	1	0
10141283	24	2005	-1	0	1	0
10141284	24	2005	-1	0	1	0
10141285	720	2005	-1	0	1	0
10141286	2160	2005	-1	0	1	0
10141287	4320	2005	-1	0	1	0
10141288	-1	2005	-1	0	1	0
10141289	720	2005	-1	0	1	0
10141290	2160	2005	-1	0	1	0
10141291	4320	2005	-1	0	1	0
10141292	-1	2005	-1	0	1	0
10141293	720	2005	-1	0	1	0
10141294	2160	2005	-1	0	1	0
10141295	4320	2005	-1	0	1	0
10141296	-1	2005	-1	0	1	0
10141297	720	2005	-1	0	1	0
10141298	2160	2005	-1	0	1	0
10141299	4320	2005	-1	0	1	0
10141300	-1	2005	-1	0	1	0
10141301	720	2005	-1	0	1	0
10141302	2160	2005	-1	0	1	0
10141303	4320	2005	-1	0	1	0
10141304	-1	2005	-1	0	1	0
10141305	720	2005	-1	0	1	0
10141306	2160	2005	-1	0	1	0
10141307	4320	2005	-1	0	1	0
10141308	-1	2005	-1	0	1	0
10141309	2160	2005	-1	0	1	0
10141310	720	2005	-1	0	1	0
10141311	720	2005	-1	0	1	0
10141312	720	2005	-1	0	1	0
10141313	2160	2005	-1	0	1	0
10141314	4320	2005	-1	0	1	0
10141315	-1	2005	-1	0	1	0
10141316	720	2005	-1	0	1	0
10141317	-1	2005	-1	0	1	0
10141319	168	2005	-1	0	1	0
10141320	720	2005	-1	0	1	0
10141321	2160	2005	-1	0	1	0
10141322	4320	2005	-1	0	1	0
10141323	-1	2005	-1	0	1	0
10141324	168	2005	-1	0	1	0
10141325	720	2005	-1	0	1	0
10141326	2160	2005	-1	0	1	0
10141327	4320	2005	-1	0	1	0
10141328	-1	2005	-1	0	1	0
10141329	168	2005	-1	0	1	0
10141330	720	2005	-1	0	1	0
10141331	2160	2005	-1	0	1	0
10141332	4320	2005	-1	0	1	0
10141333	-1	2005	-1	0	1	0
10141334	2160	2005	-1	0	1	0
10141335	2160	2005	-1	0	1	0
10141336	2160	2005	-1	0	1	0
10141337	2160	2005	-1	0	1	0
10141338	2160	2005	-1	0	1	0
10141339	168	2005	-1	0	1	0
10141341	720	2005	-1	0	1	0
10141343	2160	2005	-1	0	1	0
10141345	4320	2005	-1	0	1	0
10141351	72	2005	-1	0	1	0
10141352	360	2005	-1	0	1	0
10141353	360	2005	-1	0	1	0
10141354	720	2005	-1	0	1	0
10141358	168	2005	-1	0	1	0
10141359	720	2005	-1	0	1	0
10141360	2160	2005	-1	0	1	0
10141361	4320	2005	-1	0	1	0
10141362	-1	2005	-1	0	1	0
10141363	720	2005	-1	0	1	0
10141364	2160	2005	-1	0	1	0
10141365	4320	2005	-1	0	1	0
10141366	-1	2005	-1	0	1	0
10141367	720	2005	-1	0	1	0
10141368	2160	2005	-1	0	1	0
10141369	4320	2005	-1	0	1	0
10141370	-1	2005	-1	0	1	0
10141371	720	2005	-1	0	1	0
10141372	-1	2005	-1	0	1	0
10141373	-1	2005	-1	0	1	0
10141374	-1	2005	-1	0	1	0
10141375	-1	2005	-1	0	1	0
10141376	720	2005	-1	0	1	0
10141377	2160	2005	-1	0	1	0
10141378	4320	2005	-1	0	1	0
10141379	-1	2005	-1	0	1	0
10141380	168	2005	-1	0	1	0
10141381	72	2005	-1	0	1	0
10141382	2160	2005	-1	0	1	0
10141383	2160	2005	-1	0	1	0
10141384	2160	2005	-1	0	1	0
10141385	4320	2005	-1	0	1	0
10141386	-1	2005	-1	0	1	0
10141387	-1	2005	-1	0	1	0
10141388	-1	2005	-1	0	1	0
10141389	720	2005	-1	0	1	0
10141390	24	2005	-1	0	1	0
10141391	360	2005	-1	0	1	0
10141392	168	2005	-1	0	1	0
10141393	720	2005	-1	0	1	0
10141394	720	2005	-1	0	1	0
10141395	360	2005	-1	0	1	0
10141396	720	2005	-1	0	1	0
10141397	168	2005	-1	0	1	0
10141398	720	2005	-1	0	1	0
10141399	2160	2005	-1	0	1	0
10141400	4320	2005	-1	0	1	0
10141401	-1	2005	-1	0	1	0
10141402	168	2005	-1	0	1	0
10141403	72	2005	-1	0	1	0
10141404	168	2005	-1	0	1	0
10141405	720	2005	-1	0	1	0
10141406	2160	2005	-1	0	1	0
10141407	4320	2005	-1	0	1	0
10141408	-1	2005	-1	0	1	0
10141409	720	2005	-1	0	1	0
10141410	720	2005	-1	0	1	0
10141411	720	2005	-1	0	1	0
10141412	720	2005	-1	0	1	0
10141413	168	2005	-1	0	1	0
10141414	720	2005	-1	0	1	0
10141415	2160	2005	-1	0	1	0
10141416	4320	2005	-1	0	1	0
10141417	-1	2005	-1	0	1	0
10141418	360	2005	-1	0	1	0
10157002	-1	-1	-1	0	2	0
10200011	-1	-1	-1	0	2	0
10200012	-1	-1	-1	0	2	0
10200013	-1	-1	-1	0	2	0
10200014	-1	-1	-1	0	2	0
10200015	-1	-1	-1	0	2	0
10200016	-1	-1	-1	0	2	0
10200017	-1	-1	-1	0	2	0
10200018	-1	-1	-1	0	2	0
10200019	-1	-1	-1	0	2	0
10200020	-1	-1	-1	0	2	0
10201011	-1	-1	-1	0	2	0
10201012	-1	-1	-1	0	2	0
10201013	-1	-1	-1	0	2	0
10201014	-1	-1	-1	0	2	0
10201015	-1	-1	-1	0	2	0
10201016	-1	-1	-1	0	2	0
10201017	-1	-1	-1	0	2	0
10201018	-1	-1	-1	0	2	0
10201019	-1	-1	-1	0	2	0
10201020	-1	-1	-1	0	2	0
10202011	-1	-1	-1	0	2	0
10202012	-1	-1	-1	0	2	0
10202013	-1	-1	-1	0	2	0
10202014	-1	-1	-1	0	2	0
10202015	-1	-1	-1	0	2	0
10202016	-1	-1	-1	0	2	0
10202017	-1	-1	-1	0	2	0
10202018	-1	-1	-1	0	2	0
10202019	-1	-1	-1	0	2	0
10202020	-1	-1	-1	0	2	0
10203011	-1	-1	-1	0	2	0
10203012	-1	-1	-1	0	2	0
10203013	-1	-1	-1	0	2	0
