INT	INT	STRING
宠物类型	显示名称文本	名称$1$
660	55	火鬃鼠	
661	75	炎火鬃鼠	
662	65	玄翼兽	
663	75	蚩玄翼兽	
664	5	玉兔	
665	45	皓月玉兔	
666	55	蟾宫玉兔	
667	65	嫦娥玉兔	
668	45	尖牙暴龙	
669	55	利牙暴龙	
670	65	钢牙暴龙	
671	75	血牙暴龙	
750	5	鸭嘴兽	
751	45	鸭嘴兽	
752	55	鸭嘴兽	
753	65	鸭嘴兽	
754	75	鸭嘴兽	
755	85	鸭嘴兽	
756	95	鸭嘴兽	
757	5	雪狐	
758	45	雪狐	
759	55	雪狐	
760	65	雪狐	
761	75	雪狐	
762	85	雪狐	
763	95	雪狐	
764	5	龙猫	
765	45	龙猫	
766	55	龙猫	
767	65	龙猫	
768	75	龙猫	
769	85	龙猫	
770	95	龙猫	
771	5	犀鸟	
772	45	犀鸟	
773	55	犀鸟	
774	65	犀鸟	
775	75	犀鸟	
776	85	犀鸟	
777	95	犀鸟	
778	5	熊猫	
779	45	熊猫	
780	55	熊猫	
781	65	熊猫	
782	75	熊猫	
783	85	熊猫	
784	95	熊猫	
785	5	螃蟹	
786	45	螃蟹	
787	55	螃蟹	
788	65	螃蟹	
789	75	螃蟹	
790	85	螃蟹	
791	95	螃蟹	
792	5	蝴蝶	
793	45	蝴蝶	
794	55	蝴蝶	
795	65	蝴蝶	
796	75	蝴蝶	
797	85	蝴蝶	
798	95	蝴蝶	
799	5	蜗牛	
800	45	蜗牛	
801	55	蜗牛	
802	65	蜗牛	
803	75	蜗牛	
804	85	蜗牛	
805	95	蜗牛	
806	5	蝎子	
807	45	蝎子	
808	55	蝎子	
809	65	蝎子	
810	75	蝎子	
811	85	蝎子	
812	95	蝎子	
813	5	穿山甲	
814	45	穿山甲	
815	55	穿山甲	
816	65	穿山甲	
817	75	穿山甲	
818	85	雷麟	
819	95	穿山甲	
820	5	玄甲雷蛇	
821	45	玄甲雷蛇	
822	55	玄甲雷蛇	
823	65	玄甲雷蛇	
824	75	玄甲雷蛇	
825	85	玄甲雷蛇	
826	95	玄甲雷蛇	
827	5	当扈	
828	45	当扈	
829	55	当扈	
830	65	当扈	
831	75	当扈	
832	85	当扈	
833	95	当扈	
834	5	海盗鼠	
835	45	海盗鼠	
836	55	海盗鼠	
837	65	海盗鼠	
838	75	海盗鼠	
839	85	海盗鼠	
840	95	海盗鼠	
841	5	宝箱童子	
842	45	宝箱童子	
843	55	宝箱童子	
844	65	宝箱童子	
845	75	宝箱童子	
846	85	宝箱童子	
847	95	宝箱童子	
848	5	树袋熊	
849	45	树袋熊	
850	55	树袋熊	
851	65	树袋熊	
852	75	树袋熊	
853	85	树袋熊	
854	95	树袋熊	
856	5	欢乐猪	
857	45	欢乐猪	
858	55	欢乐猪	
859	65	欢乐猪	
860	75	欢乐猪	
861	85	欢乐猪	
862	95	欢乐猪	
863	55	火鬃妖鼠	
864	75	炎火妖鼠	
865	65	玄翼魔兽	
866	75	蚩玄魔兽	
867	65	珍奇鼠	
868	75	麒麟	
869	85	吉祥猫	
870	5	珍奇鼠	
871	45	珍奇鼠	
872	55	珍奇鼠	
873	85	魔牙暴龙	
874	5	唐装鼠	
875	45	唐装鼠	
876	55	唐装鼠	
877	65	唐装鼠	
878	75	唐装鼠	
879	85	唐装鼠	
880	95	唐装鼠	
881	5	年兽	
882	45	年兽	
883	55	年兽	
884	65	年兽	
885	75	年兽	
886	85	年兽	
887	95	年兽	
888	5	鸳鸯	
889	45	鸳鸯	
890	55	鸳鸯	
891	65	鸳鸯	
892	75	鸳鸯	
893	85	鸳鸯	
894	95	鸳鸯	
895	65	虬龙	
896	45	毛驴	
897	55	毛驴	
898	65	毛驴	
2200	5	穷奇	
2201	45	穷奇	
2202	55	穷奇	
2203	65	穷奇	
2204	75	穷奇	
2205	85	穷奇	
2206	95	穷奇	
2207	5	小狐仙	
2208	45	小狐仙	
2209	55	小狐仙	
2210	65	小狐仙	
2211	75	小狐仙	
2212	85	小狐仙	
2213	95	小狐仙	
2214	5	上古神猿	
2215	45	上古神猿	
2216	55	上古神猿	
2217	65	上古神猿	
2218	75	上古神猿	
2219	85	上古神猿	
2220	75	虬龙	
2221	5	比翼鸟	
2222	45	比翼鸟	
2223	55	比翼鸟	
2224	65	比翼鸟	
2225	75	比翼鸟	
2226	85	比翼鸟	
2227	95	比翼鸟	
2228	5	呆呆牛	
2229	45	呆呆牛	
2230	55	呆呆牛	
2231	65	呆呆牛	
2232	75	呆呆牛	
2233	85	呆呆牛	
2234	95	呆呆牛	
2235	5	珍奇牛	
2236	45	珍奇牛	
2237	55	珍奇牛	
2238	65	珍奇牛	
2239	75	珍奇牛	
2240	85	珍奇牛	
2241	95	珍奇牛	
2242	5	麒麟	
2243	45	麒麟	
2244	55	麒麟	
2245	65	麒麟	
2246	75	麒麟	
2247	85	麒麟	
2248	95	麒麟	
2249	5	go仔	
2250	45	go仔	
2251	55	go仔	
2252	65	go仔	
2253	75	go仔	
2254	85	go仔	
2255	95	go仔	
2256	85	神猿	
2257	95	神猿	
2258	5	岩魂	
2259	45	岩魂	
2260	55	岩魂	
2261	65	岩魂	
2262	75	岩魂	
2263	85	岩魂	
2264	95	岩魂	
2265	5	七夕鸳鸯	
2266	45	七夕鸳鸯	
2267	55	七夕鸳鸯	
2268	65	七夕鸳鸯	
2269	75	七夕鸳鸯	
2270	85	七夕鸳鸯	
2271	95	七夕鸳鸯	
2272	5	废柴	
2273	45	废柴	
2274	55	废柴	
2275	65	废柴	
2276	75	废柴	
2277	85	废柴	
2278	95	废柴	
2279	5	灵兔兽	
2280	45	灵兔兽	
2281	55	灵兔兽	
2282	65	灵兔兽	
2283	75	灵兔兽	
2284	85	灵兔兽	
2285	95	灵兔兽	
2286	5	至尊神兽	
2287	45	至尊神兽	
2288	55	至尊神兽	
2289	65	至尊神兽	
2290	75	至尊神兽	
2291	85	至尊神兽	
2292	95	至尊神兽	
2293	5	卡卡狮	
2294	5	香甜火鸡	
2295	45	醋椒火鸡	
2296	55	番茄火鸡	
2297	65	蓝莓火鸡	
2298	75	蒜泥火鸡	
2299	85	咖喱火鸡	
2300	95	奶油火鸡	
2301	5	丑小鸭	
2302	55	丑小鸭	
2303	85	丑小鸭	
2304	5	花仙子	
2305	45	花仙子	
2306	55	花仙子	
2307	65	花仙子	
2308	75	花仙子	
2309	85	花仙子	
2310	95	花仙子	
2311	5	驯鹿	
2312	45	驯鹿	
2313	55	驯鹿	
2314	65	驯鹿	
2315	75	驯鹿	
2316	85	驯鹿	
2317	95	驯鹿	
2318	5	珍奇虎	
2319	45	珍奇虎	
2320	55	珍奇虎	
2321	65	珍奇虎	
2322	75	珍奇虎	
2323	85	珍奇虎	
2324	95	珍奇虎	
2325	5	布老虎	
2326	45	布老虎	
2327	55	布老虎	
2328	65	布老虎	
2329	75	布老虎	
2330	85	布老虎	
2331	95	布老虎	
2333	5	幼齿龙	
2334	45	幼齿龙	
2335	55	幼齿龙	
2336	65	幼齿龙	
2337	75	幼齿龙	
2338	85	幼齿龙	
2339	95	幼齿龙	
2340	5	熊猫双侠	
2341	45	熊猫双侠	
2342	55	熊猫双侠	
2343	65	熊猫双侠	
2344	75	熊猫双侠	
2345	85	熊猫双侠	
2346	95	熊猫双侠	
2347	20	招柴猫	
2349	20	章鱼	
2350	45	章鱼	
2351	55	章鱼	
2352	65	章鱼	
2353	75	章鱼	
2354	85	章鱼	
2355	95	章鱼	
2356	5	蝶恋花	
2357	45	蝶恋花	
2358	55	蝶恋花	
2359	65	蝶恋花	
2360	75	蝶恋花	
2361	85	蝶恋花	
2362	95	蝶恋花	
2363	5	傀儡狼	
2364	45	傀儡狼	
2365	55	傀儡狼	
2366	65	傀儡狼	
2367	75	傀儡狼	
2368	85	傀儡狼	
2369	95	傀儡狼	
2370	5	僵尸	
2371	5	五色神牛	
2372	45	五色神牛	
2373	55	五色神牛	
2374	65	五色神牛	
2375	75	五色神牛	
2376	85	五色神牛	
2377	95	五色神牛	
2378	45	僵尸	
2379	55	僵尸	
2380	65	僵尸	
2381	75	僵尸	
2382	85	僵尸	
2383	95	僵尸	
2384	5	幽冥狼妖	
2385	45	幽冥狼妖	
2386	55	幽冥狼妖	
2387	65	幽冥狼妖	
2388	75	幽冥狼妖	
2389	85	幽冥狼妖	
2390	95	幽冥狼妖	
2391	5	七巧狸猫	
2392	45	七巧狸猫	
2393	55	七巧狸猫	
2394	65	七巧狸猫	
2395	75	七巧狸猫	
2396	85	七巧狸猫	
2397	95	七巧狸猫	
2398	5	玉鸾凤	
2399	45	玉鸾凤	
2400	55	玉鸾凤	
2401	65	玉鸾凤	
2402	75	玉鸾凤	
2403	85	玉鸾凤	
2404	95	玉鸾凤	
2405	5	神企鹅	
2406	45	神企鹅	
2407	55	神企鹅	
2409	75	神企鹅	
2410	85	神企鹅	
2411	95	神企鹅	
2412	5	灵兔双杰	
2413	45	灵兔双杰	
2414	55	灵兔双杰	
2415	65	灵兔双杰	
2416	75	灵兔双杰	
2417	85	灵兔双杰	
2418	95	灵兔双杰	
2419	5	蛮石怪	
2420	45	蛮石怪	
2421	55	蛮石怪	
2422	65	蛮石怪	
2423	75	蛮石怪	
2424	85	蛮石怪	
2425	95	蛮石怪	
2426	5	精灵兔	
2427	45	精灵兔	
2428	55	精灵兔	
2429	65	精灵兔	
2430	75	精灵兔	
2431	85	精灵兔	
2432	95	精灵兔	
2433	5	锦毛鼠	
2434	45	锦毛鼠	
2435	55	锦毛鼠	
2436	65	锦毛鼠	
2437	75	锦毛鼠	
2438	85	锦毛鼠	
2439	95	锦毛鼠	
2440	5	多玩熊	
2441	20	YY熊	
2442	5	昴日星	
2443	5	拱天豖	
2444	5	东风螺	
2445	75	星河玉兔	
2446	85	九天玉兔	
2447	5	玉兔	
2448	45	晨星玉兔	
2449	55	月桂玉兔	
2450	65	天宫玉兔	
2451	5	百变猫	
2452	45	百变猫	
2453	55	百变猫	
2454	65	百变猫	
2455	75	百变猫	
2456	85	百变猫	
2457	95	百变猫	
2458	5	嵩鼠	
2459	5	人偶	
2460	45	璇灵人偶	
2461	55	星冥人偶	
2462	65	武玄人偶	
2463	75	阎神人偶	
2464	85	梵圣人偶	
2465	95	通天人偶	
2500	85	幻化冰妖	
2501	85	幻化孙美美	
2502	85	幻化水匪头领	
2503	85	幻化水匪头领	
2504	85	幻化冰妖	
2505	85	幻化孙美美	
2506	85	幻化孙美美	
2507	85	幻化冰妖	
2508	85	幻化水匪头领	
2509	85	幻化孙美美	
2510	85	幻化冰妖	
2511	85	幻化水匪头领	
2512	85	幻化孙美美	
2513	85	幻化孙美美	
2514	85	幻化水匪头领	
2515	85	幻化冰妖	
2516	85	幻化孙美美	
2517	85	幻化冰妖	
2518	85	幻化冰妖	
2519	85	幻化孙美美	
2520	85	幻化冰妖	
2521	85	幻化孙美美	
2522	85	幻化孙美美	
2523	85	幻化孙美美	
2524	85	幻化冰妖	
2525	85	幻化孙美美	
2526	85	幻化冰妖	
2527	85	幻化冰妖	
2528	85	幻化孙美美	
2529	85	幻化水匪头领	
2530	85	幻化冰妖	
2531	85	幻化孙美美	
2532	85	幻化水匪头领	
2533	85	幻化冰妖	
2534	85	幻化冰妖	
2535	95	幻化秦王	
2536	95	幻化远古棋魂	
2537	95	幻化远古棋魂	
2538	95	幻化秦王	
2539	95	幻化秦王	
2540	95	幻化远古棋魂	
2541	95	幻化哈大霸	
2542	95	幻化秦王	
2543	95	幻化远古棋魂	
2544	95	幻化哈大霸	
2545	95	幻化秦王	
2546	95	幻化哈大霸	
2547	95	幻化哈大霸	
2548	95	幻化远古棋魂	
2549	95	幻化秦王	
2550	95	幻化远古棋魂	
2551	95	幻化远古棋魂	
2552	95	幻化秦王	
2553	95	幻化秦王	
2554	95	幻化秦王	
2555	95	幻化远古棋魂	
2556	95	幻化秦王	
2557	95	幻化远古棋魂	
2558	95	幻化远古棋魂	
2559	95	幻化秦王	
2560	95	幻化哈大霸	
2561	95	幻化远古棋魂	
2562	95	幻化秦王	
2563	95	幻化哈大霸	
2564	95	幻化远古棋魂	
2565	95	幻化远古棋魂	
2566	85	幻化孙美美	
2567	95	幻化秦王	
2568	85	幻化冰妖	
2569	95	幻化远古棋魂	
2570	85	幻化孙美美	
2571	95	幻化秦王	
2572	85	幻化冰妖	
2573	95	幻化远古棋魂	
2574	85	幻化冰妖	
2575	95	幻化远古棋魂	
2577	85	幻化水匪头领	
2578	95	幻化哈大霸	
2579	85	幻化孙美美	
2580	95	幻化秦王	
2581	85	幻化孙美美	
2582	95	幻化秦王	
2583	85	幻化孙美美	
2584	95	幻化秦王	
2585	85	幻化冰妖	
2586	95	幻化远古棋魂	
2587	85	幻化冰妖	
2588	95	幻化远古棋魂	
2589	85	幻化孙美美	
2590	95	幻化秦王	
2591	85	幻化孙美美	
2592	95	幻化秦王	
2594	85	幻化孙美美	
2595	95	幻化秦王	
2596	85	幻化水匪头领	
2597	95	幻化哈大霸	
2598	85	幻化冰妖	
2599	95	幻化远古棋魂	
2600	85	幻化冰妖	
2601	95	幻化远古棋魂	
2602	85	幻化冰妖	
2603	95	幻化远古棋魂	
2604	85	幻化孙美美	
2605	95	幻化秦王	
2606	85	幻化孙美美	
2607	95	幻化秦王	
2608	85	幻化水匪头领	
2609	95	幻化哈大霸	
2610	85	幻化孙美美	
2611	95	幻化秦王	
2612	85	幻化冰妖	
2613	85	幻化冰妖	
2614	95	幻化远古棋魂	
2615	85	幻化孙美美	
2616	95	幻化秦王	
