INT	STRING	INT	INT	STRING	INT	INT	INT	FLOAT	INT	INT	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	INT
33	经脉百诀	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_9	-1	辅助制蛊技能，降低制蛊的活力消耗，天龙派独有的生活技能。	-1	经脉百诀	0	-1	0	-1	-1
34	引虫术	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_5	-1	辅助制毒技能，降低制毒的活力消耗，星宿派独有的生活技能。	-1	引虫术	0	-1	0	-1	-1
35	灵心术	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_6	-1	辅助制符技能，降低制符的活力消耗，峨嵋派独有的生活技能。	-1	灵心术	0	-1	0	-1	-1
36	道法	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_7	-1	辅助炼丹技能，降低炼丹的活力消耗，武当派独有的生活技能。	-1	道法	0	-1	0	-1	-1
37	六艺风骨	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_8	-1	辅助奇门盾甲技能，降低奇门遁甲的活力消耗，逍遥派独有的生活技能。	-1	六艺风骨	0	-1	0	-1	-1
38	骑术	30	1	assistant.txt	5000	-1	-1	-1	-1	-1	RideHeader1_1	-1	骑术	-1	骑术	0	-1	0	-1	-1
39	咫尺天涯	10	3	dingweifu.txt	10000	-1	-1	-1	-1	118	Charm_4	-1	使用此技能可以制作出迅速回到特定地点的符咒。	1	咫尺天涯	1	-1	0	-1	-1
40	活血	10	100	assistant.txt	0	-1	-1	-1	-1	-1	CommonLiveSkill_12	-1	增加血上限	-2	活血	0	-1	0	-1	-1
41	养气	10	100	assistant.txt	0	-1	-1	-1	-1	-1	CommonLiveSkill_13	-1	增加气上限	-2	养气	0	-1	0	-1	-1
42	强身	10	100	assistant.txt	0	-1	-1	-1	-1	-1	CommonLiveSkill_14	-1	增加活力上限	-2	强身	0	-1	0	-1	-1
43	健体	10	100	assistant.txt	0	-1	-1	-1	-1	-1	CommonLiveSkill_15	-1	增加精力上限	-2	健体	0	-1	0	-1	-1
44	修身	10	100	assistant.txt	0	-1	-1	-1	-1	-1	CommonLiveSkill_16	-1	增加活力增长速度	-2	修身	0	-1	0	-1	-1
45	塑体	10	100	assistant.txt	0	-1	-1	-1	-1	-1	MenpaiLiveSkill2_8	-1	增加精力增长速度	-2	塑体	0	-1	0	-1	-1
46	精炼	10	1	assistant.txt	100	-1	-1	-1	-1	118	TaskTools4_13	-1	精炼天铸，神兵突成，利器饮血。	1	精炼	0	253	1	-1	-1
47	精制	10	1	assistant.txt	100	-1	-1	-1	-1	118	TaskTools4_14	-1	精制仙织，锦袍玉带，护体神铠。	1	精制	0	254	1	-1	-1
48	精工	10	1	assistant.txt	100	-1	-1	-1	-1	118	TaskTools4_15	-1	精工灵造，善器成形，佑主精魂。	1	精工	0	252	1	-1	-1
49	材料加工	10	1	cailiaojiagong.txt	5000	-1	-1	-1	-1	118	CommonLiveSkill2_1	-1	使用本技能可以将缝纫、铸造、工艺生活技能所需的各种材料加工成为可用之材。	1	材料加工	0	252	1	-1	-1
50	支援朝廷	-1	12	assistant.txt	120000	-1	-1	2	-1	118	Food_1	-1	支援朝廷	-1	支援朝廷	0	-1	0	-1	-1
51	帮会宣战采矿	-1	12	assistant.txt	15000	-1	-1	2	-1	142	Food_1	-1	帮会宣战采矿	-1	采矿	0	248	1	-1	-1
52	磨砺术	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	Medicine5_12	-1	在战场上厮杀难免遇到兵伤，这些用草药浸制的兵符，能够延续在战场的战斗能力，时间久了你就会体会到里面的妙处。	1	磨砺术	1	252	0	-1	-1
53	卜卦	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	Medicine5_12	-1	辅助磨砺术技能，降低磨砺术的活力消耗，慕容世家独有的生活技能。	-1	卜卦	0	-1	0	-1	-1
54	采集玄晶	-1	12	assistant.txt	10000	-1	-1	2	-1	717	CommonLiveSkill_3	-1	受玄晶矿师点拨所领悟的七彩玄晶采集之法。#r使用鼠标左键点击七彩玄晶即可进行采集，且仅可对七彩玄晶使用。	-1	采集玄晶	0	2119	1	-1	-1
