INT	INT	STRING	STRING	STRING	INT	FLOAT	INT	INT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT
心法ID	门派ID	心法名称$1$	心法描述$1$	心法图标	心法影响属性逻辑	心法修正率(废)	是否直接学会	升级人物等级限制	心法等级段1	心法修正率1	心法等级段2	心法修正率2	心法等级段3	心法修正率3	心法等级段4	心法修正率4	心法等级段5	心法修正率5	心法等级段6	心法修正率6	心法等级段7	心法修正率7	心法等级段8	心法修正率8	心法等级段9	心法修正率9	心法等级段10	心法修正率10
11	1	烈焰大法	明教秘传的正七十二周天炼气心法，血如岩浆，气似烈焰。修习之后可以提升明教弟子的外功攻击力。#r#c54FF00学习等级10	XinFa1_11	2	1.200000	1	10	45	1.200000	60	12.000000	75	18.000000	90	24.000000	105	30.000000	120	36.000000	135	42.000000	150	48.000000	175	54.000000	200	60.000000	
12	1	明尊圣火功	波斯山中老人霍山所创的诡异武功，路数指东打西，令人防不胜防。修习之后可以提升明教弟子的气上限。#r#c54FF00学习等级20	XinFa1_12	1	3.000000	1	20	45	3.000000	60	12.000000	75	24.000000	90	36.000000	105	48.000000	120	60.000000	135	72.000000	150	84.000000	175	96.000000	200	108.000000	
13	2	太祖长拳	当朝太祖赵匡胤所创拳法，在大宋最为流行。修习之后可以提升丐帮弟子的命中率。#r#c54FF00学习等级10	XinFa1_13	6	0.200000	1	10	45	0.200000	60	4.000000	75	6.000000	90	8.000000	105	10.000000	120	12.000000	135	14.000000	150	16.000000	175	18.000000	200	20.000000	
14	2	地堂功	江湖上各种下盘功夫的大杂烩，包含转守为攻，死里逃生等很多简朴实用的招式。修习之后可以提升丐帮弟子的闪避率。#r#c54FF00学习等级20	XinFa1_14	7	0.070000	1	20	45	0.070000	60	1.050000	75	1.750000	90	2.450000	105	3.150000	120	3.850000	135	4.550000	150	5.250000	175	5.950000	200	6.650000	
15	2	降龙十八掌上卷	天下阳刚第一的掌法，丐帮世代相传。降龙十八掌上卷注重顺势而发，势不可挡。修习之后可以提升丐帮弟子的生命力。#r#c54FF00学习等级20	XinFa1_15	0	6.000000	1	20	45	6.000000	60	30.000000	75	48.000000	90	60.000000	105	72.000000	120	84.000000	135	96.000000	150	108.000000	175	120.000000	200	132.000000	
16	2	擒龙功	江湖上秘密流传的神功，练到上乘境界，可以凌空取物，夺人兵刃。修习之后可以提升丐帮弟子的外功防御力。#r#c54FF00学习等级10	XinFa1_16	4	0.500000	1	10	45	0.500000	60	5.000000	75	10.000000	90	15.000000	105	20.000000	120	25.000000	135	30.000000	150	35.000000	175	40.000000	200	45.000000	
17	2	控鹤功	江湖上秘密流传的神功，练到上乘境界，可以隔山打牛，百步伤人。修习之后可以提升丐帮弟子的外功攻击力。#r#c54FF00学习等级10	XinFa2_1	2	1.200000	1	10	45	1.200000	60	12.000000	75	18.000000	90	24.000000	105	30.000000	120	36.000000	135	42.000000	150	48.000000	175	54.000000	200	60.000000	
18	2	降龙十八掌下卷	天下阳刚第一的掌法，丐帮世代相传。降龙十八掌下卷注重逆势而动，后劲无穷。修习之后可以提升丐帮弟子的气上限。#r#c54FF00学习等级20	XinFa2_2	1	3.000000	1	20	45	3.000000	60	12.000000	75	24.000000	90	36.000000	105	48.000000	120	60.000000	135	72.000000	150	84.000000	175	96.000000	200	108.000000	
19	3	阴阳诀	道家所谓阴阳，即阴阳相生相克，乾坤相辅相成之理。修习之后可以提升武当弟子的命中率。#r#c54FF00学习等级10	XinFa2_3	6	0.200000	1	10	45	0.200000	60	4.000000	75	6.000000	90	8.000000	105	10.000000	120	12.000000	135	14.000000	150	16.000000	175	18.000000	200	20.000000	
20	3	乱环诀	道家所谓乱环，即百般变化存乎于心，高低进退，出入攻守有别之理。修习之后可以提升武当弟子的闪避率。#r#c54FF00学习等级20	XinFa2_4	7	0.070000	1	20	45	0.070000	60	1.050000	75	1.750000	90	2.450000	105	3.150000	120	3.850000	135	4.550000	150	5.250000	175	5.950000	200	6.650000	
21	3	虚实诀	道家所谓虚实，即避重就轻，避实就虚之理。修习之后可以提升武当弟子的生命力。#r#c54FF00学习等级20	XinFa2_5	0	6.000000	1	20	45	6.000000	60	30.000000	75	48.000000	90	60.000000	105	72.000000	120	84.000000	135	96.000000	150	108.000000	175	120.000000	200	132.000000	
22	3	太极剑法	集道家武学之大成的剑法，讲究神在剑先，绵绵不绝，以不变应万变。修习之后可以提升武当弟子的内功防御力。#r#c54FF00学习等级10	XinFa2_6	5	0.500000	1	10	45	0.500000	60	5.000000	75	10.000000	90	15.000000	105	20.000000	120	25.000000	135	30.000000	150	35.000000	175	40.000000	200	45.000000	
23	3	太极拳法	集道家武学之大成的拳法，讲究太极圆转，永无止境，用意而不用力。修习之后可以提升武当弟子的内功攻击力。#r#c54FF00学习等级10	XinFa2_7	3	1.200000	1	10	45	1.200000	60	12.000000	75	18.000000	90	24.000000	105	30.000000	120	36.000000	135	42.000000	150	48.000000	175	54.000000	200	60.000000	
24	3	南华经	道家先贤庄子所著，天人合一的武学至理即从中所悟。修习之后可以提升武当弟子的气上限。#r#c54FF00学习等级20	XinFa2_8	1	3.000000	1	20	45	3.000000	60	12.000000	75	24.000000	90	36.000000	105	48.000000	120	60.000000	135	72.000000	150	84.000000	175	96.000000	200	108.000000	
25	4	神女拳法	峨嵋派最为奇妙花巧的功夫，每一招都源自一位古代美女。修习之后可以提升峨嵋弟子的命中率。#r#c54FF00学习等级10	XinFa2_9	6	0.200000	1	10	45	0.200000	60	4.000000	75	6.000000	90	8.000000	105	10.000000	120	12.000000	135	14.000000	150	16.000000	175	18.000000	200	20.000000	
26	4	神佑经	源自佛家的上乘心法，讲究护体防身之余，对同伴施以援手。修习之后可以提升峨嵋弟子的闪避率。#r#c54FF00学习等级20	XinFa2_10	7	0.070000	1	20	45	0.070000	60	1.050000	75	1.750000	90	2.450000	105	3.150000	120	3.850000	135	4.550000	150	5.250000	175	5.950000	200	6.650000	
27	4	洗髓经	禅宗达摩祖师所著，指明了武学之中以洗髓易筋来驱恶辟邪之理。修习之后可以提升峨嵋弟子的生命力。#r#c54FF00学习等级20	XinFa2_11	0	6.000000	1	20	45	6.000000	60	30.000000	75	48.000000	90	60.000000	105	72.000000	120	84.000000	135	96.000000	150	108.000000	175	120.000000	200	132.000000	
28	4	淑女剑法	峨嵋派前辈女侠秘传的剑法，剑式轻柔灵动，滴水不漏，偏重防守。修习之后可以提升峨嵋弟子的内功防御力。#r#c54FF00学习等级10	XinFa2_12	5	0.500000	1	10	45	0.500000	60	5.000000	75	10.000000	90	15.000000	105	20.000000	120	25.000000	135	30.000000	150	35.000000	175	40.000000	200	45.000000	
29	4	君子剑法	峨嵋派前辈侠客秘传的剑法，剑式清雅潇洒，凌厉逼人，偏重进攻。修习之后可以提升峨嵋弟子的内功攻击力。#r#c54FF00学习等级10	XinFa2_13	3	1.200000	1	10	45	1.200000	60	12.000000	75	18.000000	90	24.000000	105	30.000000	120	36.000000	135	42.000000	150	48.000000	175	54.000000	200	60.000000	
30	4	黯然别离掌	峨嵋派不传之秘，平时威力平平，只有在生离死别，黯然销魂之时才会显示出惊天动地的威力。修习之后可以提升峨嵋弟子的气上限。#r#c54FF00学习等级20	XinFa2_14	1	3.000000	1	20	45	3.000000	60	12.000000	75	24.000000	90	36.000000	105	48.000000	120	60.000000	135	72.000000	150	84.000000	175	96.000000	200	108.000000	
31	5	腐尸功	星宿老仙丁春秋自创的武功，以腐烂的尸毒发动攻击，令敌人避无可避。修习之后可以提升星宿弟子的命中率。#r#c54FF00学习等级10	XinFa2_15	6	0.200000	1	10	45	0.200000	60	4.000000	75	6.000000	90	8.000000	105	10.000000	120	12.000000	135	14.000000	150	16.000000	175	18.000000	200	20.000000	
32	5	五毒功	从五种毒物的动作形态中化出的神功，据说源自南方五毒教。修习之后可以提升星宿弟子的闪避率。#r#c54FF00学习等级20	XinFa2_16	7	0.070000	1	20	45	0.070000	60	1.050000	75	1.750000	90	2.450000	105	3.150000	120	3.850000	135	4.550000	150	5.250000	175	5.950000	200	6.650000	
33	5	三笑逍遥散	星宿老仙丁春秋自创的奇门毒术，以诡异的手段和霸道的毒药摧毁对手。修习之后可以提升星宿弟子的生命力。#r#c54FF00学习等级20	XinFa3_1	0	6.000000	1	20	45	6.000000	60	30.000000	75	48.000000	90	60.000000	105	72.000000	120	84.000000	135	96.000000	150	108.000000	175	120.000000	200	132.000000	
34	5	神木功	星宿三宝之一的神木王鼎之中，藏着这份失传已久的武功秘笈。修习之后可以提升星宿弟子的内功防御力。#r#c54FF00学习等级10	XinFa3_2	5	0.500000	1	10	45	0.500000	60	5.000000	75	10.000000	90	15.000000	105	20.000000	120	25.000000	135	30.000000	150	35.000000	175	40.000000	200	45.000000	
35	5	圣水经	星宿三宝之一的圣水王尊之中，藏着这份失传已久的武功秘笈。修习之后可以提升星宿弟子的内功攻击力。#r#c54FF00学习等级10	XinFa3_3	3	1.200000	1	10	45	1.200000	60	12.000000	75	18.000000	90	24.000000	105	30.000000	120	36.000000	135	42.000000	150	48.000000	175	54.000000	200	60.000000	
36	5	拼命三式	拼命三式，招招都是要与敌人同归于尽，一人拼命，万众难当。修习之后可以提升星宿弟子的气上限。#r#c54FF00学习等级20	XinFa3_4	1	3.000000	1	20	45	3.000000	60	12.000000	75	24.000000	90	36.000000	105	48.000000	120	60.000000	135	72.000000	150	84.000000	175	96.000000	200	108.000000	
37	6	一阳指指法	大理段氏家传绝学，运起周身内力集于指尖，气度雍容，一指克敌。修习之后可以提升天龙弟子的闪避率。#r#c54FF00学习等级10	XinFa3_5	7	0.200000	1	10	45	0.200000	60	1.400000	75	2.400000	90	3.400000	105	4.400000	120	5.400000	135	6.400000	150	7.400000	175	8.400000	200	9.400000	
38	6	大理兵法	大理段氏先祖创业之时克敌致胜的兵法，被后人借鉴于武学之中。修习之后可以提升天龙弟子的内功防御力。#r#c54FF00学习等级20	XinFa3_6	5	0.500000	1	20	45	0.500000	60	5.000000	75	10.000000	90	15.000000	105	20.000000	120	25.000000	135	30.000000	150	35.000000	175	40.000000	200	45.000000	
39	6	导引术	上古所传的导引伸展，呼吸炼气的法门，可以吐故纳新，强身健体。修习之后可以提升天龙弟子的生命力。#r#c54FF00学习等级20	XinFa3_7	0	6.000000	1	20	45	6.000000	60	30.000000	75	48.000000	90	60.000000	105	72.000000	120	84.000000	135	96.000000	150	108.000000	175	120.000000	200	132.000000	
40	6	段家拳法	大理段氏秘传的拳法，典雅尊贵，正大光明，自有一番皇家之威严。修习之后可以提升天龙弟子的外功防御力。#r#c54FF00学习等级10	XinFa3_8	4	0.500000	1	10	45	0.500000	60	5.000000	75	10.000000	90	15.000000	105	20.000000	120	25.000000	135	30.000000	150	35.000000	175	40.000000	200	45.000000	
41	6	段家剑法	大理段氏秘传的剑法，大开大阖，进退有方，自有一番皇家之威严。修习之后可以提升天龙弟子的外功攻击力。#r#c54FF00学习等级10	XinFa3_9	2	1.200000	1	10	45	1.200000	60	12.000000	75	18.000000	90	24.000000	105	30.000000	120	36.000000	135	42.000000	150	48.000000	175	54.000000	200	60.000000	
42	6	枯禅	天龙寺世代相传的神功，静坐参禅，心无旁骛，佛法与内功均能至臻化境。修习之后可以提升天龙弟子的气上限。#r#c54FF00学习等级20	XinFa3_10	1	3.000000	1	20	45	3.000000	60	12.000000	75	24.000000	90	36.000000	105	48.000000	120	60.000000	135	72.000000	150	84.000000	175	96.000000	200	108.000000	
43	7	灵鹫功	从各种神禽灵鹫的动作形态中化出的神功，出手狠辣，毫不容情。修习之后可以提升天山弟子的命中率。#r#c54FF00学习等级10	XinFa3_11	6	0.200000	1	10	45	0.200000	60	4.000000	75	6.000000	90	8.000000	105	10.000000	120	12.000000	135	14.000000	150	16.000000	175	18.000000	200	20.000000	
44	7	小无相功	源自道家神游太虚，清静无为之意，收发之间毫无形迹。修习之后可以提升天山弟子的闪避率。#r#c54FF00学习等级20	XinFa3_12	7	0.070000	1	20	45	0.070000	60	1.050000	75	1.750000	90	2.450000	105	3.150000	120	3.850000	135	4.550000	150	5.250000	175	5.950000	200	6.650000	
45	7	龟息功	源自道家潜心潜息，真定出定之意，如龟息闭气，将真气损耗降至最小。修习之后可以提升天山弟子的生命力。#r#c54FF00学习等级20	XinFa3_13	0	6.000000	1	20	45	6.000000	60	30.000000	75	48.000000	90	60.000000	105	72.000000	120	84.000000	135	96.000000	150	108.000000	175	120.000000	200	132.000000	
46	7	天山融雪功	天山派前贤秘传的内功心法，学无止境，天下任何防御心法都可自行化在天山融雪功中。修习之后可以提升天山弟子的外功防御力。#r#c54FF00学习等级10	XinFa3_14	4	0.500000	1	10	45	0.500000	60	5.000000	75	10.000000	90	15.000000	105	20.000000	120	25.000000	135	30.000000	150	35.000000	175	40.000000	200	45.000000	
47	7	天山折梅手	天山派前贤秘传的擒拿手法，学无止境，天下任何攻击手法都可自行化在天山折梅手中。修习之后可以提升天山弟子的外功攻击力。#r#c54FF00学习等级10	XinFa3_15	2	1.200000	1	10	45	1.200000	60	12.000000	75	18.000000	90	24.000000	105	30.000000	120	36.000000	135	42.000000	150	48.000000	175	54.000000	200	60.000000	
48	7	天山六阳掌	原是逍遥派神功绝学，经灵鹫宫发扬光大，威力早已震古烁今，只是外人不知而已。修习之后可以提升天山弟子的气上限。#r#c54FF00学习等级20	XinFa3_16	1	3.000000	1	20	45	3.000000	60	12.000000	75	24.000000	90	36.000000	105	48.000000	120	60.000000	135	72.000000	150	84.000000	175	96.000000	200	108.000000	
49	8	百花经	据说传自盛唐，以百花为引，凝内力为阵，陷敌于阵中而置身于阵外。修习之后可以提升逍遥弟子的命中率。#r#c54FF00学习等级10	XinFa4_1	6	0.200000	1	10	45	0.200000	60	4.000000	75	6.000000	90	8.000000	105	10.000000	120	12.000000	135	14.000000	150	16.000000	175	18.000000	200	20.000000	
50	8	遁甲天书	三国时期左慈仙人所授，记载着古往今来奇门遁甲，腾挪变化之术。修习之后可以提升逍遥弟子的闪避率。#r#c54FF00学习等级20	XinFa4_2	7	0.070000	1	20	45	0.070000	60	1.050000	75	1.750000	90	2.450000	105	3.150000	120	3.850000	135	4.550000	150	5.250000	175	5.950000	200	6.650000	
51	8	太平要术	三国时期南华老仙所授，记载着古往今来呼风唤雨，扑朔迷离之术。修习之后可以提升逍遥弟子的生命力。#r#c54FF00学习等级20	XinFa4_3	0	6.000000	1	20	45	6.000000	60	30.000000	75	48.000000	90	60.000000	105	72.000000	120	84.000000	135	96.000000	150	108.000000	175	120.000000	200	132.000000	
52	8	短歌行	逍遥派创派祖师从音乐歌诗之中悟出的武功心法，出招时犹如仙乐飘飘，绕梁三日。修习之后可以提升逍遥弟子的内功防御力。#r#c54FF00学习等级10	XinFa4_4	5	0.500000	1	10	45	0.500000	60	5.000000	75	10.000000	90	15.000000	105	20.000000	120	25.000000	135	30.000000	150	35.000000	175	40.000000	200	45.000000	
53	8	丹青引	逍遥派创派祖师从书画丹青之中悟出的武功心法，出招时犹如浓墨重彩，破壁飞仙。修习之后可以提升逍遥弟子的内功攻击力。#r#c54FF00学习等级10	XinFa4_5	3	1.200000	1	10	45	1.200000	60	12.000000	75	18.000000	90	24.000000	105	30.000000	120	36.000000	135	42.000000	150	48.000000	175	54.000000	200	60.000000	
54	8	惊涛掌法	近年来名震江湖的神功，没有人知道它的来历。修习之后可以提升逍遥弟子的气上限。#r#c54FF00学习等级20	XinFa4_6	1	3.000000	1	20	45	3.000000	60	12.000000	75	24.000000	90	36.000000	105	48.000000	120	60.000000	135	72.000000	150	84.000000	175	96.000000	200	108.000000	
55	0	易筋经	达摩祖师所著，少林第一绝学，任何平庸武功在易筋经摧动之下均能化腐朽为神奇。修习之后可以提高少林弟子的会心一击率。#r#c54FF00学习等级35	XinFa4_7	8	0.050000	0	35	45	0.050000	60	0.100000	75	0.100000	90	0.150000	105	0.200000	120	0.250000	135	0.300000	150	0.350000	175	0.400000	200	0.450000	
56	1	九阳天书	此真经藏于达摩手书四卷楞伽经的夹缝之中，近数十年为明教所有，抱一含元，呼吸九阳。修习之后可以提高明教弟子的会心一击率。#r#c54FF00学习等级35	XinFa4_8	8	0.050000	0	35	45	0.050000	60	0.100000	75	0.100000	90	0.150000	105	0.200000	120	0.250000	135	0.300000	150	0.350000	175	0.400000	200	0.450000	
57	2	打狗棒法	丐帮开帮祖师爷所创武功，名字虽然陋俗，招数变化却极其精妙。修习之后可以提高丐帮弟子的会心一击率。#r#c54FF00学习等级35	XinFa4_9	8	0.050000	0	35	45	0.050000	60	0.100000	75	0.100000	90	0.150000	105	0.200000	120	0.250000	135	0.300000	150	0.350000	175	0.400000	200	0.450000	
58	3	仙天功	道家先贤赤松子所创的呼吸炼气之法，可以聚先天三宝元气、元神、元精于一身。修习之后可以提高武当弟子的会心一击率。#r#c54FF00学习等级35	XinFa4_10	8	0.050000	0	35	45	0.050000	60	0.100000	75	0.100000	90	0.150000	105	0.200000	120	0.250000	135	0.300000	150	0.350000	175	0.400000	200	0.450000	
59	4	九阴天书	名震江湖的武学至宝，据说源自道藏，内容博大精深，内功外功无所不包。修习之后可以提高峨嵋弟子的会心一击率。#r#c54FF00学习等级35	XinFa4_11	8	0.050000	0	35	45	0.050000	60	0.100000	75	0.100000	90	0.150000	105	0.200000	120	0.250000	135	0.300000	150	0.350000	175	0.400000	200	0.450000	
60	5	化功大法	从逍遥派北冥神功的基础上演化而来的奇门武功，可以用霸道的功夫化尽敌人的内力。修习之后可以提高星宿弟子的会心一击率。#r#c54FF00学习等级35	XinFa4_12	8	0.050000	0	35	45	0.050000	60	0.100000	75	0.100000	90	0.150000	105	0.200000	120	0.250000	135	0.300000	150	0.350000	175	0.400000	200	0.450000	
61	6	六脉神剑	武林绝学，天龙寺镇寺之宝，天下剑法第一，以浑厚内力催动无形剑气伤人，威力无穷。修习之后可以提升天龙弟子的会心一击率。#r#c54FF00学习等级35	XinFa4_13	8	0.050000	0	35	45	0.050000	60	0.100000	75	0.100000	90	0.150000	105	0.200000	120	0.250000	135	0.300000	150	0.350000	175	0.400000	200	0.450000	
62	7	生死符	灵鹫宫镇宫之宝，是以天山六阳之力化水成冰，将浑厚内力附于冰上，封死敌人要穴。修习之后可以提升天山弟子的会心一击率。#r#c54FF00学习等级35	XinFa4_14	8	0.050000	0	35	45	0.050000	60	0.100000	75	0.100000	90	0.150000	105	0.200000	120	0.250000	135	0.300000	150	0.350000	175	0.400000	200	0.450000	
63	8	北冥神功	逍遥派绝世神功，以积蓄内力为第一要义，犹之北冥，大舟小舟无不载，大鱼小鱼无不容。修习之后可以提升逍遥弟子的会心一击率。#r#c54FF00学习等级35	XinFa4_15	8	0.050000	0	35	45	0.050000	60	0.100000	75	0.100000	90	0.150000	105	0.200000	120	0.250000	135	0.300000	150	0.350000	175	0.400000	200	0.450000	
