INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
索引	装备点	强化等级	收取金钱	成功率	退化等级	外攻	内攻	外防	内防	命中	闪避
85	9	5	173	1500	1	44	44	44	44	44	44	
86	9	6	199	2000	5	70	70	70	70	70	70	
87	9	7	228	1000	5	93	93	93	93	93	93	
88	9	8	261	100	7	135	135	135	135	135	135	
89	9	9	300	50	8	195	195	195	195	195	195	
90	10	1	100	7500	0	10	10	10	10	10	10	
91	10	2	115	6000	1	15	15	15	15	15	15	
92	10	3	132	5000	1	21	21	21	21	21	21	
93	10	4	151	4500	1	30	30	30	30	30	30	
94	10	5	173	1500	1	44	44	44	44	44	44	
95	10	6	199	2000	5	70	70	70	70	70	70	
96	10	7	228	1000	5	93	93	93	93	93	93	
97	10	8	261	100	7	135	135	135	135	135	135	
98	10	9	300	50	8	195	195	195	195	195	195	
99	11	1	100	7500	0	20	20	20	20	20	20	
100	11	2	115	6000	1	30	30	30	30	30	30	
101	11	3	132	5000	1	42	42	42	42	42	42	
102	11	4	151	4500	1	60	60	60	60	60	60	
103	11	5	173	1500	1	88	88	88	88	88	88	
104	11	6	199	2000	5	140	140	140	140	140	140	
105	11	7	228	1000	5	186	186	186	186	186	186	
106	11	8	261	100	7	270	270	270	270	270	270	
107	11	9	300	50	8	390	390	390	390	390	390	
108	12	1	100	7500	0	20	20	20	20	20	20	
109	12	2	115	6000	1	30	30	30	30	30	30	
110	12	3	132	5000	1	42	42	42	42	42	42	
111	12	4	151	4500	1	60	60	60	60	60	60	
112	12	5	173	1500	1	88	88	88	88	88	88	
113	12	6	199	2000	5	140	140	140	140	140	140	
114	12	7	228	1000	5	186	186	186	186	186	186	
115	12	8	261	100	7	270	270	270	270	270	270	
116	12	9	300	50	8	390	390	390	390	390	390	
117	13	1	100	7500	0	20	20	20	20	20	20	
118	13	2	115	6000	1	30	30	30	30	30	30	
119	13	3	132	5000	1	42	42	42	42	42	42	
120	13	4	151	4500	1	60	60	60	60	60	60	
121	13	5	173	1500	1	88	88	88	88	88	88	
122	13	6	199	2000	5	140	140	140	140	140	140	
123	13	7	228	1000	5	186	186	186	186	186	186	
124	13	8	261	100	7	270	270	270	270	270	270	
125	13	9	300	50	8	390	390	390	390	390	390	
126	14	1	100	7500	0	20	20	20	20	20	20	
127	14	2	115	6000	1	30	30	30	30	30	30	
128	14	3	132	5000	1	42	42	42	42	42	42	
129	14	4	151	4500	1	60	60	60	60	60	60	
130	14	5	173	1500	1	88	88	88	88	88	88	
131	14	6	199	2000	5	140	140	140	140	140	140	
132	14	7	228	1000	5	186	186	186	186	186	186	
133	14	8	261	100	7	270	270	270	270	270	270	
134	14	9	300	50	8	390	390	390	390	390	390	
135	15	1	100	7500	0	20	20	20	20	20	20	
136	15	2	115	6000	1	30	30	30	30	30	30	
137	15	3	132	5000	1	42	42	42	42	42	42	
138	15	4	151	4500	1	60	60	60	60	60	60	
139	15	5	173	1500	1	88	88	88	88	88	88	
140	15	6	199	2000	5	140	140	140	140	140	140	
141	15	7	228	1000	5	186	186	186	186	186	186	
142	15	8	261	100	7	270	270	270	270	270	270	
143	15	9	300	50	8	390	390	390	390	390	390	
144	16	1	100	7500	0	10	10	10	10	10	10	
145	16	2	115	6000	1	15	15	15	15	15	15	
146	16	3	132	5000	1	21	21	21	21	21	21	
147	16	4	151	4500	1	30	30	30	30	30	30	
148	16	5	173	1500	1	44	44	44	44	44	44	
149	16	6	199	2000	5	70	70	70	70	70	70	
150	16	7	228	1000	5	93	93	93	93	93	93	
151	16	8	261	100	7	135	135	135	135	135	135	
152	16	9	300	50	8	195	195	195	195	195	195	
153	17	1	100	7500	0	10	10	10	10	10	10	
154	17	2	115	6000	1	15	15	15	15	15	15	
155	17	3	132	5000	1	21	21	21	21	21	21	
156	17	4	151	4500	1	30	30	30	30	30	30	
157	17	5	173	1500	1	44	44	44	44	44	44	
158	17	6	199	2000	5	70	70	70	70	70	70	
159	17	7	228	1000	5	93	93	93	93	93	93	
160	17	8	261	100	7	135	135	135	135	135	135	
161	17	9	300	50	8	195	195	195	195	195	195	
162	18	1	100	7500	0	10	10	10	10	10	10	
163	18	2	115	6000	1	15	15	15	15	15	15	
164	18	3	132	5000	1	21	21	21	21	21	21	
165	18	4	151	4500	1	30	30	30	30	30	30	
166	18	5	173	1500	1	44	44	44	44	44	44	
167	18	6	199	2000	5	70	70	70	70	70	70	
168	18	7	228	1000	5	93	93	93	93	93	93	
169	18	8	261	100	7	135	135	135	135	135	135	
170	18	9	300	50	8	195	195	195	195	195	195	
