INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
8	1	1	1	2	1	6	1	6	1	3	1	3	1	6	1	2	1	6	1	6	1	3	1	3	1	6	1	2	1	6	1	6	1	3	1	3	1	6	1	2	1	6	1	6	1	3	1	3	1	6	1	2	1	6	1	6	1	3	1	3	1	6	1	2	1	6	1	6	1	3	1	3	1	6	1	2	1	6	1	6	1	3	1	3	1	6	1	2	1	6	1	6	1	3	1	3	1	6	1	2	1	6	1	6	1	3	1	3	1	6	1	8	1	8	1	8	1	8	1	8	1	8	1	8	1	8	1	8
9	1	1	1	2	1	7	1	7	1	3	1	3	1	7	1	2	1	7	1	7	1	3	1	3	1	7	1	2	1	7	1	7	1	3	1	3	1	7	1	2	1	7	1	7	1	3	1	3	1	7	1	2	1	7	1	7	1	3	1	3	1	7	1	2	1	7	1	7	1	3	1	3	1	7	1	2	1	7	1	7	1	3	1	3	1	7	1	2	1	7	1	7	1	3	1	3	1	7	1	2	1	7	1	7	1	3	1	3	1	7	1	9	1	9	1	9	1	9	1	9	1	9	1	9	1	9	1	9
10	1	1	1	2	1	7	1	7	1	3	1	3	1	7	1	2	1	7	1	7	1	3	1	3	1	7	1	2	1	7	1	7	1	3	1	3	1	7	1	2	1	7	1	7	1	3	1	3	1	7	1	2	1	7	1	7	1	3	1	3	1	7	1	2	1	7	1	7	1	3	1	3	1	7	1	2	1	7	1	7	1	3	1	3	1	7	1	2	1	7	1	7	1	3	1	3	1	7	1	2	1	7	1	7	1	3	1	3	1	7	1	10	1	10	1	10	1	10	1	10	1	10	1	10	1	10	1	10
11	1	2	0	2	1	8	1	8	1	4	1	4	1	8	0	2	1	8	1	8	1	4	1	4	1	8	0	2	1	8	1	8	1	4	1	4	1	8	0	2	1	8	1	8	1	4	1	4	1	8	0	2	1	8	1	8	1	4	1	4	1	8	0	2	1	8	1	8	1	4	1	4	1	8	0	2	1	8	1	8	1	4	1	4	1	8	0	2	1	8	1	8	1	4	1	4	1	8	0	2	1	8	1	8	1	4	1	4	1	8	1	11	1	11	1	11	1	11	1	11	1	11	1	11	1	11	1	11
12	1	2	1	3	1	9	1	9	1	4	1	4	1	9	1	3	1	9	1	9	1	4	1	4	1	9	1	3	1	9	1	9	1	4	1	4	1	9	1	3	1	9	1	9	1	4	1	4	1	9	1	3	1	9	1	9	1	4	1	4	1	9	1	3	1	9	1	9	1	4	1	4	1	9	1	3	1	9	1	9	1	4	1	4	1	9	1	3	1	9	1	9	1	4	1	4	1	9	1	3	1	9	1	9	1	4	1	4	1	9	1	12	1	12	1	12	1	12	1	12	1	12	1	12	1	12	1	12
13	1	3	1	3	1	11	1	11	1	5	1	5	1	11	1	3	1	11	1	11	1	5	1	5	1	11	1	3	1	11	1	11	1	5	1	5	1	11	1	3	1	11	1	11	1	5	1	5	1	11	1	3	1	11	1	11	1	5	1	5	1	11	1	3	1	11	1	11	1	5	1	5	1	11	1	3	1	11	1	11	1	5	1	5	1	11	1	3	1	11	1	11	1	5	1	5	1	11	1	3	1	11	1	11	1	5	1	5	1	11	1	14	1	14	1	14	1	14	1	14	1	14	1	14	1	14	1	14
14	1	3	1	4	1	12	1	12	1	6	1	6	1	12	1	4	1	12	1	12	1	6	1	6	1	12	1	4	1	12	1	12	1	6	1	6	1	12	1	4	1	12	1	12	1	6	1	6	1	12	1	4	1	12	1	12	1	6	1	6	1	12	1	4	1	12	1	12	1	6	1	6	1	12	1	4	1	12	1	12	1	6	1	6	1	12	1	4	1	12	1	12	1	6	1	6	1	12	1	4	1	12	1	12	1	6	1	6	1	12	2	16	2	16	2	16	2	16	2	16	2	16	2	16	2	16	2	16
15	1	4	1	4	2	14	2	14	1	7	1	7	2	14	1	4	2	14	2	14	1	7	1	7	2	14	1	4	2	14	2	14	1	7	1	7	2	14	1	4	2	14	2	14	1	7	1	7	2	14	1	4	2	14	2	14	1	7	1	7	2	14	1	4	2	14	2	14	1	7	1	7	2	14	1	4	2	14	2	14	1	7	1	7	2	14	1	4	2	14	2	14	1	7	1	7	2	14	1	4	2	14	2	14	1	7	1	7	2	14	2	19	2	19	2	19	2	19	2	19	2	19	2	19	2	19	2	19
16	1	5	1	5	2	16	2	16	1	8	1	8	2	16	1	5	2	16	2	16	1	8	1	8	2	16	1	5	2	16	2	16	1	8	1	8	2	16	1	5	2	16	2	16	1	8	1	8	2	16	1	5	2	16	2	16	1	8	1	8	2	16	1	5	2	16	2	16	1	8	1	8	2	16	1	5	2	16	2	16	1	8	1	8	2	16	1	5	2	16	2	16	1	8	1	8	2	16	1	5	2	16	2	16	1	8	1	8	2	16	2	22	2	22	2	22	2	22	2	22	2	22	2	22	2	22	2	22
17	1	6	1	6	3	19	3	19	1	9	1	9	3	19	1	6	3	19	3	19	1	9	1	9	3	19	1	6	3	19	3	19	1	9	1	9	3	19	1	6	3	19	3	19	1	9	1	9	3	19	1	6	3	19	3	19	1	9	1	9	3	19	1	6	3	19	3	19	1	9	1	9	3	19	1	6	3	19	3	19	1	9	1	9	3	19	1	6	3	19	3	19	1	9	1	9	3	19	1	6	3	19	3	19	1	9	1	9	3	19	3	25	3	25	3	25	3	25	3	25	3	25	3	25	3	25	3	25
18	1	8	1	7	3	22	3	22	1	11	1	11	3	22	1	7	3	22	3	22	1	11	1	11	3	22	1	7	3	22	3	22	1	11	1	11	3	22	1	7	3	22	3	22	1	11	1	11	3	22	1	7	3	22	3	22	1	11	1	11	3	22	1	7	3	22	3	22	1	11	1	11	3	22	1	7	3	22	3	22	1	11	1	11	3	22	1	7	3	22	3	22	1	11	1	11	3	22	1	7	3	22	3	22	1	11	1	11	3	22	4	30	4	30	4	30	4	30	4	30	4	30	4	30	4	30	4	30
19	2	9	1	8	4	26	4	26	1	13	1	13	4	26	1	8	4	26	4	26	1	13	1	13	4	26	1	8	4	26	4	26	1	13	1	13	4	26	1	8	4	26	4	26	1	13	1	13	4	26	1	8	4	26	4	26	1	13	1	13	4	26	1	8	4	26	4	26	1	13	1	13	4	26	1	8	4	26	4	26	1	13	1	13	4	26	1	8	4	26	4	26	1	13	1	13	4	26	1	8	4	26	4	26	1	13	1	13	4	26	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35
20	2	11	1	10	8	31	8	31	2	15	2	15	8	31	1	10	8	31	8	31	2	15	2	15	8	31	1	10	8	31	8	31	2	15	2	15	8	31	1	10	8	31	8	31	2	15	2	15	8	31	1	10	8	31	8	31	2	15	2	15	8	31	1	10	8	31	8	31	2	15	2	15	8	31	1	10	8	31	8	31	2	15	2	15	8	31	1	10	8	31	8	31	2	15	2	15	8	31	1	10	8	31	8	31	2	15	2	15	8	31	8	42	8	42	8	42	8	42	8	42	8	42	8	42	8	42	8	42
21	2	14	1	12	9	37	9	37	2	18	2	18	9	37	1	12	9	37	9	37	2	18	2	18	9	37	1	12	9	37	9	37	2	18	2	18	9	37	1	12	9	37	9	37	2	18	2	18	9	37	1	12	9	37	9	37	2	18	2	18	9	37	1	12	9	37	9	37	2	18	2	18	9	37	1	12	9	37	9	37	2	18	2	18	9	37	1	12	9	37	9	37	2	18	2	18	9	37	1	12	9	37	9	37	2	18	2	18	9	37	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50
22	3	16	2	14	12	44	12	44	3	22	3	22	12	44	2	14	12	44	12	44	3	22	3	22	12	44	2	14	12	44	12	44	3	22	3	22	12	44	2	14	12	44	12	44	3	22	3	22	12	44	2	14	12	44	12	44	3	22	3	22	12	44	2	14	12	44	12	44	3	22	3	22	12	44	2	14	12	44	12	44	3	22	3	22	12	44	2	14	12	44	12	44	3	22	3	22	12	44	2	14	12	44	12	44	3	22	3	22	12	44	12	59	12	59	12	59	12	59	12	59	12	59	12	59	12	59	12	59
23	4	20	2	17	14	52	14	52	3	26	3	26	14	52	2	17	14	52	14	52	3	26	3	26	14	52	2	17	14	52	14	52	3	26	3	26	14	52	2	17	14	52	14	52	3	26	3	26	14	52	2	17	14	52	14	52	3	26	3	26	14	52	2	17	14	52	14	52	3	26	3	26	14	52	2	17	14	52	14	52	3	26	3	26	14	52	2	17	14	52	14	52	3	26	3	26	14	52	2	17	14	52	14	52	3	26	3	26	14	52	15	69	15	69	15	69	15	69	15	69	15	69	15	69	15	69	15	69
24	4	23	3	20	17	61	17	61	4	30	4	30	17	61	3	20	17	61	17	61	4	30	4	30	17	61	3	20	17	61	17	61	4	30	4	30	17	61	3	20	17	61	17	61	4	30	4	30	17	61	3	20	17	61	17	61	4	30	4	30	17	61	3	20	17	61	17	61	4	30	4	30	17	61	3	20	17	61	17	61	4	30	4	30	17	61	3	20	17	61	17	61	4	30	4	30	17	61	3	20	17	61	17	61	4	30	4	30	17	61	18	81	18	81	18	81	18	81	18	81	18	81	18	81	18	81	18	81
25	5	31	3	23	20	71	20	71	5	35	5	35	20	71	3	23	20	71	20	71	5	35	5	35	20	71	3	23	20	71	20	71	5	35	5	35	20	71	3	23	20	71	20	71	5	35	5	35	20	71	3	23	20	71	20	71	5	35	5	35	20	71	3	23	20	71	20	71	5	35	5	35	20	71	3	23	20	71	20	71	5	35	5	35	20	71	3	23	20	71	20	71	5	35	5	35	20	71	3	23	20	71	20	71	5	35	5	35	20	71	22	95	22	95	22	95	22	95	22	95	22	95	22	95	22	95	22	95
26	6	47	4	28	24	84	24	84	6	42	6	42	24	84	4	28	24	84	24	84	6	42	6	42	24	84	4	28	24	84	24	84	6	42	6	42	24	84	4	28	24	84	24	84	6	42	6	42	24	84	4	28	24	84	24	84	6	42	6	42	24	84	4	28	24	84	24	84	6	42	6	42	24	84	4	28	24	84	24	84	6	42	6	42	24	84	4	28	24	84	24	84	6	42	6	42	24	84	4	28	24	84	24	84	6	42	6	42	24	84	26	112	26	112	26	112	26	112	26	112	26	112	26	112	26	112	26	112
27	7	63	5	32	29	98	29	98	7	49	7	49	29	98	5	32	29	98	29	98	7	49	7	49	29	98	5	32	29	98	29	98	7	49	7	49	29	98	5	32	29	98	29	98	7	49	7	49	29	98	5	32	29	98	29	98	7	49	7	49	29	98	5	32	29	98	29	98	7	49	7	49	29	98	5	32	29	98	29	98	7	49	7	49	29	98	5	32	29	98	29	98	7	49	7	49	29	98	5	32	29	98	29	98	7	49	7	49	29	98	31	131	31	131	31	131	31	131	31	131	31	131	31	131	31	131	31	131
28	8	81	6	37	33	113	33	113	9	56	9	56	33	113	6	37	33	113	33	113	9	56	9	56	33	113	6	37	33	113	33	113	9	56	9	56	33	113	6	37	33	113	33	113	9	56	9	56	33	113	6	37	33	113	33	113	9	56	9	56	33	113	6	37	33	113	33	113	9	56	9	56	33	113	6	37	33	113	33	113	9	56	9	56	33	113	6	37	33	113	33	113	9	56	9	56	33	113	6	37	33	113	33	113	9	56	9	56	33	113	36	151	36	151	36	151	36	151	36	151	36	151	36	151	36	151	36	151
29	8	133	7	43	39	130	39	130	10	65	10	65	39	130	7	43	39	130	39	130	10	65	10	65	39	130	7	43	39	130	39	130	10	65	10	65	39	130	7	43	39	130	39	130	10	65	10	65	39	130	7	43	39	130	39	130	10	65	10	65	39	130	7	43	39	130	39	130	10	65	10	65	39	130	7	43	39	130	39	130	10	65	10	65	39	130	7	43	39	130	39	130	10	65	10	65	39	130	7	43	39	130	39	130	10	65	10	65	39	130	42	174	42	174	42	174	42	174	42	174	42	174	42	174	42	174	42	174
30	8	148	7	51	42	154	42	154	11	77	11	77	42	154	7	51	42	154	42	154	11	77	11	77	42	154	7	51	42	154	42	154	11	77	11	77	42	154	7	51	42	154	42	154	11	77	11	77	42	154	7	51	42	154	42	154	11	77	11	77	42	154	7	51	42	154	42	154	11	77	11	77	42	154	7	51	42	154	42	154	11	77	11	77	42	154	7	51	42	154	42	154	11	77	11	77	42	154	7	51	42	154	42	154	11	77	11	77	42	154	45	206	45	206	45	206	45	206	45	206	45	206	45	206	45	206	45	206
31	9	164	8	60	47	180	47	180	12	90	12	90	47	180	8	60	47	180	47	180	12	90	12	90	47	180	8	60	47	180	47	180	12	90	12	90	47	180	8	60	47	180	47	180	12	90	12	90	47	180	8	60	47	180	47	180	12	90	12	90	47	180	8	60	47	180	47	180	12	90	12	90	47	180	8	60	47	180	47	180	12	90	12	90	47	180	8	60	47	180	47	180	12	90	12	90	47	180	8	60	47	180	47	180	12	90	12	90	47	180	50	240	50	240	50	240	50	240	50	240	50	240	50	240	50	240	50	240
32	11	181	9	69	52	208	52	208	14	104	14	104	52	208	9	69	52	208	52	208	14	104	14	104	52	208	9	69	52	208	52	208	14	104	14	104	52	208	9	69	52	208	52	208	14	104	14	104	52	208	9	69	52	208	52	208	14	104	14	104	52	208	9	69	52	208	52	208	14	104	14	104	52	208	9	69	52	208	52	208	14	104	14	104	52	208	9	69	52	208	52	208	14	104	14	104	52	208	9	69	52	208	52	208	14	104	14	104	52	208	56	277	56	277	56	277	56	277	56	277	56	277	56	277	56	277	56	277
33	12	198	10	79	58	238	58	238	15	119	15	119	58	238	10	79	58	238	58	238	15	119	15	119	58	238	10	79	58	238	58	238	15	119	15	119	58	238	10	79	58	238	58	238	15	119	15	119	58	238	10	79	58	238	58	238	15	119	15	119	58	238	10	79	58	238	58	238	15	119	15	119	58	238	10	79	58	238	58	238	15	119	15	119	58	238	10	79	58	238	58	238	15	119	15	119	58	238	10	79	58	238	58	238	15	119	15	119	58	238	62	317	62	317	62	317	62	317	62	317	62	317	62	317	62	317	62	317
34	13	217	11	90	64	270	64	270	17	135	17	135	64	270	11	90	64	270	64	270	17	135	17	135	64	270	11	90	64	270	64	270	17	135	17	135	64	270	11	90	64	270	64	270	17	135	17	135	64	270	11	90	64	270	64	270	17	135	17	135	64	270	11	90	64	270	64	270	17	135	17	135	64	270	11	90	64	270	64	270	17	135	17	135	64	270	11	90	64	270	64	270	17	135	17	135	64	270	11	90	64	270	64	270	17	135	17	135	64	270	68	360	68	360	68	360	68	360	68	360	68	360	68	360	68	360	68	360
35	15	238	12	101	70	304	70	304	18	152	18	152	70	304	12	101	70	304	70	304	18	152	18	152	70	304	12	101	70	304	70	304	18	152	18	152	70	304	12	101	70	304	70	304	18	152	18	152	70	304	12	101	70	304	70	304	18	152	18	152	70	304	12	101	70	304	70	304	18	152	18	152	70	304	12	101	70	304	70	304	18	152	18	152	70	304	12	101	70	304	70	304	18	152	18	152	70	304	12	101	70	304	70	304	18	152	18	152	70	304	75	405	75	405	75	405	75	405	75	405	75	405	75	405	75	405	75	405
36	16	259	13	113	77	341	77	341	20	170	20	170	77	341	13	113	77	341	77	341	20	170	20	170	77	341	13	113	77	341	77	341	20	170	20	170	77	341	13	113	77	341	77	341	20	170	20	170	77	341	13	113	77	341	77	341	20	170	20	170	77	341	13	113	77	341	77	341	20	170	20	170	77	341	13	113	77	341	77	341	20	170	20	170	77	341	13	113	77	341	77	341	20	170	20	170	77	341	13	113	77	341	77	341	20	170	20	170	77	341	83	454	83	454	83	454	83	454	83	454	83	454	83	454	83	454	83	454
37	18	282	15	126	85	380	85	380	22	190	22	190	85	380	15	126	85	380	85	380	22	190	22	190	85	380	15	126	85	380	85	380	22	190	22	190	85	380	15	126	85	380	85	380	22	190	22	190	85	380	15	126	85	380	85	380	22	190	22	190	85	380	15	126	85	380	85	380	22	190	22	190	85	380	15	126	85	380	85	380	22	190	22	190	85	380	15	126	85	380	85	380	22	190	22	190	85	380	15	126	85	380	85	380	22	190	22	190	85	380	91	506	91	506	91	506	91	506	91	506	91	506	91	506	91	506	91	506
38	19	306	16	140	93	421	93	421	25	210	25	210	93	421	16	140	93	421	93	421	25	210	25	210	93	421	16	140	93	421	93	421	25	210	25	210	93	421	16	140	93	421	93	421	25	210	25	210	93	421	16	140	93	421	93	421	25	210	25	210	93	421	16	140	93	421	93	421	25	210	25	210	93	421	16	140	93	421	93	421	25	210	25	210	93	421	16	140	93	421	93	421	25	210	25	210	93	421	16	140	93	421	93	421	25	210	25	210	93	421	100	561	100	561	100	561	100	561	100	561	100	561	100	561	100	561	100	561
39	21	331	18	155	102	465	102	465	27	232	27	232	102	465	18	155	102	465	102	465	27	232	27	232	102	465	18	155	102	465	102	465	27	232	27	232	102	465	18	155	102	465	102	465	27	232	27	232	102	465	18	155	102	465	102	465	27	232	27	232	102	465	18	155	102	465	102	465	27	232	27	232	102	465	18	155	102	465	102	465	27	232	27	232	102	465	18	155	102	465	102	465	27	232	27	232	102	465	18	155	102	465	102	465	27	232	27	232	102	465	109	620	109	620	109	620	109	620	109	620	109	620	109	620	109	620	109	620
40	29	358	19	170	111	512	111	512	29	256	29	256	111	512	19	170	111	512	111	512	29	256	29	256	111	512	19	170	111	512	111	512	29	256	29	256	111	512	19	170	111	512	111	512	29	256	29	256	111	512	19	170	111	512	111	512	29	256	29	256	111	512	19	170	111	512	111	512	29	256	29	256	111	512	19	170	111	512	111	512	29	256	29	256	111	512	19	170	111	512	111	512	29	256	29	256	111	512	19	170	111	512	111	512	29	256	29	256	111	512	119	683	119	683	119	683	119	683	119	683	119	683	119	683	119	683	119	683
41	32	387	27	187	151	562	151	562	40	281	40	281	151	562	27	187	151	562	151	562	40	281	40	281	151	562	27	187	151	562	151	562	40	281	40	281	151	562	27	187	151	562	151	562	40	281	40	281	151	562	27	187	151	562	151	562	40	281	40	281	151	562	27	187	151	562	151	562	40	281	40	281	151	562	27	187	151	562	151	562	40	281	40	281	151	562	27	187	151	562	151	562	40	281	40	281	151	562	27	187	151	562	151	562	40	281	40	281	151	562	162	749	162	749	162	749	162	749	162	749	162	749	162	749	162	749	162	749
42	35	417	29	205	164	615	164	615	44	307	44	307	164	615	29	205	164	615	164	615	44	307	44	307	164	615	29	205	164	615	164	615	44	307	44	307	164	615	29	205	164	615	164	615	44	307	44	307	164	615	29	205	164	615	164	615	44	307	44	307	164	615	29	205	164	615	164	615	44	307	44	307	164	615	29	205	164	615	164	615	44	307	44	307	164	615	29	205	164	615	164	615	44	307	44	307	164	615	29	205	164	615	164	615	44	307	44	307	164	615	176	821	176	821	176	821	176	821	176	821	176	821	176	821	176	821	176	821
43	37	450	31	224	178	672	178	672	47	336	47	336	178	672	31	224	178	672	178	672	47	336	47	336	178	672	31	224	178	672	178	672	47	336	47	336	178	672	31	224	178	672	178	672	47	336	47	336	178	672	31	224	178	672	178	672	47	336	47	336	178	672	31	224	178	672	178	672	47	336	47	336	178	672	31	224	178	672	178	672	47	336	47	336	178	672	31	224	178	672	178	672	47	336	47	336	178	672	31	224	178	672	178	672	47	336	47	336	178	672	191	896	191	896	191	896	191	896	191	896	191	896	191	896	191	896	191	896
44	41	484	34	244	193	732	193	732	51	366	51	366	193	732	34	244	193	732	193	732	51	366	51	366	193	732	34	244	193	732	193	732	51	366	51	366	193	732	34	244	193	732	193	732	51	366	51	366	193	732	34	244	193	732	193	732	51	366	51	366	193	732	34	244	193	732	193	732	51	366	51	366	193	732	34	244	193	732	193	732	51	366	51	366	193	732	34	244	193	732	193	732	51	366	51	366	193	732	34	244	193	732	193	732	51	366	51	366	193	732	206	977	206	977	206	977	206	977	206	977	206	977	206	977	206	977	206	977
45	44	520	37	265	208	796	208	796	55	398	55	398	208	796	37	265	208	796	208	796	55	398	55	398	208	796	37	265	208	796	208	796	55	398	55	398	208	796	37	265	208	796	208	796	55	398	55	398	208	796	37	265	208	796	208	796	55	398	55	398	208	796	37	265	208	796	208	796	55	398	55	398	208	796	37	265	208	796	208	796	55	398	55	398	208	796	37	265	208	796	208	796	55	398	55	398	208	796	37	265	208	796	208	796	55	398	55	398	208	796	223	1062	223	1062	223	1062	223	1062	223	1062	223	1062	223	1062	223	1062	223	1062
